BLOCKID,COUNTYFP,DISTRICT
460039736001000,003,VTD-6
460039736001001,003,VTD-6
460039736001002,003,VTD-6
460039736001003,003,VTD-6
460039736001004,003,VTD-6
460039736001005,003,VTD-6
460039736001006,003,VTD-6
460039736001007,003,VTD-6
460039736001008,003,VTD-6
460039736001009,003,VTD-6
460039736001010,003,VTD-6
460039736001011,003,VTD-6
460039736001012,003,VTD-6
460039736001013,003,VTD-6
460039736001014,003,VTD-6
460039736001015,003,VTD-6
460039736001016,003,VTD-6
460039736001017,003,VTD-6
460039736001018,003,VTD-4
460039736001019,003,VTD-4
460039736001020,003,VTD-4
460039736001021,003,VTD-4
460039736001022,003,VTD-4
460039736001023,003,VTD-4
460039736001024,003,VTD-4
460039736001025,003,VTD-4
460039736001026,003,VTD-4
460039736001027,003,VTD-4
460039736001028,003,VTD-4
460039736001029,003,VTD-4
460039736001030,003,VTD-4
460039736001031,003,VTD-4
460039736001032,003,VTD-4
460039736001033,003,VTD-4
460039736001034,003,VTD-6
460039736001035,003,VTD-6
460039736001036,003,VTD-6
460039736001037,003,VTD-6
460039736001038,003,VTD-6
460039736001039,003,VTD-6
460039736001040,003,VTD-6
460039736001041,003,VTD-6
460039736001042,003,VTD-6
460039736001043,003,VTD-6
460039736001044,003,VTD-6
460039736001045,003,VTD-6
460039736001046,003,VTD-6
460039736001047,003,VTD-6
460039736001048,003,VTD-6
460039736001049,003,VTD-6
460039736001050,003,VTD-6
460039736001051,003,VTD-6
460039736001052,003,VTD-6
460039736001053,003,VTD-6
460039736001054,003,VTD-6
460039736001055,003,VTD-6
460039736001056,003,VTD-6
460039736001057,003,VTD-6
460039736001058,003,VTD-6
460039736001059,003,VTD-6
460039736001060,003,VTD-6
460039736001061,003,VTD-6
460039736001062,003,VTD-6
460039736001063,003,VTD-6
460039736001064,003,VTD-6
460039736001065,003,VTD-6
460039736001066,003,VTD-6
460039736001067,003,VTD-6
460039736001068,003,VTD-6
460039736001069,003,VTD-6
460039736001070,003,VTD-6
460039736001071,003,VTD-6
460039736001072,003,VTD-6
460039736001073,003,VTD-6
460039736001074,003,VTD-6
460039736001075,003,VTD-4
460039736001076,003,VTD-4
460039736001077,003,VTD-4
460039736001078,003,VTD-4
460039736001079,003,VTD-4
460039736001080,003,VTD-4
460039736001081,003,VTD-4
460039736001082,003,VTD-4
460039736001083,003,VTD-4
460039736001084,003,VTD-4
460039736001085,003,VTD-4
460039736001086,003,VTD-4
460039736001087,003,VTD-4
460039736001088,003,VTD-4
460039736001089,003,VTD-4
460039736001090,003,VTD-4
460039736001091,003,VTD-4
460039736001092,003,VTD-3
460039736001093,003,VTD-3
460039736001094,003,VTD-4
460039736001095,003,VTD-4
460039736001096,003,VTD-3
460039736001097,003,VTD-3
460039736001098,003,VTD-3
460039736001099,003,VTD-3
460039736001100,003,VTD-3
460039736001101,003,VTD-3
460039736001102,003,VTD-3
460039736001103,003,VTD-3
460039736001104,003,VTD-3
460039736001105,003,VTD-3
460039736001106,003,VTD-3
460039736001107,003,VTD-3
460039736001108,003,VTD-3
460039736001109,003,VTD-4
460039736001110,003,VTD-4
460039736001111,003,VTD-4
460039736001112,003,VTD-4
460039736001113,003,VTD-4
460039736001114,003,VTD-4
460039736001115,003,VTD-5
460039736001116,003,VTD-5
460039736001117,003,VTD-5
460039736001118,003,VTD-5
460039736001119,003,VTD-5
460039736001120,003,VTD-5
460039736001121,003,VTD-5
460039736001122,003,VTD-4
460039736001123,003,VTD-4
460039736001124,003,VTD-4
460039736001125,003,VTD-5
460039736001126,003,VTD-5
460039736001127,003,VTD-5
460039736001128,003,VTD-5
460039736001129,003,VTD-5
460039736001130,003,VTD-6
460039736001131,003,VTD-6
460039736001132,003,VTD-6
460039736001133,003,VTD-6
460039736001134,003,VTD-6
460039736001135,003,VTD-6
460039736001136,003,VTD-6
460039736001137,003,VTD-6
460039736001138,003,VTD-6
460039736001139,003,VTD-6
460039736001140,003,VTD-6
460039736001141,003,VTD-6
460039736001142,003,VTD-6
460039736001143,003,VTD-6
460039736001144,003,VTD-6
460039736001145,003,VTD-6
460039736001146,003,VTD-6
460039736001147,003,VTD-5
460039736001148,003,VTD-5
460039736001149,003,VTD-6
460039736001150,003,VTD-6
460039736001151,003,VTD-6
460039736001152,003,VTD-6
460039736001153,003,VTD-6
460039736001154,003,VTD-6
460039736001155,003,VTD-6
460039736001156,003,VTD-6
460039736001157,003,VTD-6
460039736001158,003,VTD-6
460039736001159,003,VTD-6
460039736001160,003,VTD-5
460039736001161,003,VTD-5
