BLOCKID,DISTRICT
490011001001000,03
490011001001001,03
490011001001002,03
490011001001003,03
490011001001004,03
490011001001005,03
490011001001006,03
490011001001007,03
490011001001008,03
490011001001009,03
490011001001010,03
490011001001011,03
490011001001012,03
490011001001013,03
490011001001014,03
490011001001015,03
490011001001016,03
490011001001017,03
490011001001018,03
490011001001019,03
490011001001020,03
490011001001021,03
490011001001022,03
490011001001023,03
490011001001024,03
490011001001025,03
490011001001026,03
490011001001027,03
490011001001028,03
490011001001029,03
490011001001030,03
490011001001031,03
490011001001032,03
490011001001033,03
490011001001034,03
490011001001035,03
490011001001036,03
490011001001037,03
490011001001038,03
490011001001039,03
490011001001040,03
490011001001041,03
490011001001042,03
490011001001043,03
490011001001044,03
490011001001045,03
490011001001046,03
490011001001047,03
490011001001048,03
490011001001049,03
490011001001050,03
490011001001051,03
490011001001052,03
490011001001053,03
490011001001054,03
490011001001055,03
490011001001056,03
490011001001057,03
490011001001058,03
490011001001059,03
490011001001060,03
490011001001061,03
490011001001062,03
490011001001063,03
490011001001064,03
490011001001065,03
490011001001066,03
490011001001067,03
490011001001068,03
490011001001069,03
490011001001070,03
490011001001071,03
490011001001072,03
490011001001073,03
490011001001074,03
490011001001075,03
490011001001076,03
490011001001077,03
490011001001078,03
490011001001079,03
490011001001080,03
490011001001081,03
490011001001082,03
490011001001083,03
490011001001084,03
490011001001085,03
490011001001086,03
490011001001087,03
490011001001088,03
490011001001089,03
490011001001090,03
490011001001091,03
490011001001092,03
490011001001093,03
490011001001094,03
490011001001095,03
490011001001096,03
490011001001097,03
490011001001098,03
490011001001099,03
490011001001100,03
490011001001101,03
490011001001102,03
490011001001103,03
490011001001104,03
490011001001105,03
490011001001106,03
490011001001107,03
490011001001108,03
490011001001109,03
490011001001110,03
490011001001111,03
490011001001112,03
490011001001113,03
490011001001114,03
490011001001115,03
490011001001116,03
490011001001117,03
490011001001118,03
490011001001119,03
490011001001120,03
490011001001121,03
490011001001122,03
490011001001123,03
490011001001124,03
490011001001125,03
490011001001126,03
490011001001127,03
490011001001128,03
490011001001129,03
490011001001130,03
490011001001131,03
490011001001132,03
490011001001133,03
490011001001134,03
490011001001135,03
490011001001136,03
490011001001137,03
490011001001138,03
490011001001139,03
490011001001140,03
490011001001141,03
490011001001142,03
490011001001143,03
490011001001144,03
490011001001145,03
490011001001146,03
490011001001147,03
490011001001148,03
490011001001149,03
490011001001150,03
490011001001151,03
490011001001152,03
490011001001153,03
490011001001154,03
490011001001155,03
490011001001156,03
490011001001157,03
490011001001158,03
490011001001159,03
490011001001160,03
490011001001161,03
490011001001162,03
490011001001163,03
490011001001164,03
490011001001165,03
490011001001166,03
490011001001167,03
490011001001168,03
490011001001169,03
490011001001170,03
490011001001171,03
490011001001172,03
490011001001173,03
490011001001174,03
490011001001175,03
490011001001176,03
490011001001177,03
490011001001178,03
490011001001179,03
490011001001180,03
490011001001181,03
490011001001182,03
490011001001183,03
490011001001184,03
490011001001185,03
490011001001186,03
490011001001187,03
