BLOCKID,PLACEFP
490011001001000,
490011001001001,
490011001001002,
490011001001003,
490011001001004,
490011001001005,
490011001001006,
490011001001007,
490011001001008,
490011001001009,
490011001001010,
490011001001011,
490011001001012,
490011001001013,
490011001001014,
490011001001015,
490011001001016,
490011001001017,
490011001001018,
490011001001019,
490011001001020,
490011001001021,
490011001001022,
490011001001023,
490011001001024,
490011001001025,
490011001001026,
490011001001027,
490011001001028,
490011001001029,
490011001001030,
490011001001031,
490011001001032,
490011001001033,
490011001001034,
490011001001035,
490011001001036,
490011001001037,
490011001001038,
490011001001039,
490011001001040,
490011001001041,
490011001001042,
490011001001043,
490011001001044,
490011001001045,
490011001001046,
490011001001047,
490011001001048,
490011001001049,
490011001001050,
490011001001051,
490011001001052,
490011001001053,
490011001001054,
490011001001055,
490011001001056,
490011001001057,
490011001001058,
490011001001059,
490011001001060,
490011001001061,
490011001001062,
490011001001063,
490011001001064,
490011001001065,
490011001001066,
490011001001067,
490011001001068,
490011001001069,
490011001001070,
490011001001071,
490011001001072,
490011001001073,
490011001001074,
490011001001075,
490011001001076,
490011001001077,
490011001001078,
490011001001079,
490011001001080,
490011001001081,
490011001001082,
490011001001083,
490011001001084,
490011001001085,
490011001001086,
490011001001087,
490011001001088,
490011001001089,
490011001001090,
490011001001091,
490011001001092,
490011001001093,
490011001001094,
490011001001095,
490011001001096,
490011001001097,
490011001001098,
490011001001099,
490011001001100,
490011001001101,
490011001001102,
490011001001103,
490011001001104,
490011001001105,
490011001001106,
490011001001107,
490011001001108,
490011001001109,
490011001001110,
490011001001111,
490011001001112,
490011001001113,
490011001001114,
490011001001115,
490011001001116,
490011001001117,
490011001001118,
490011001001119,
490011001001120,
490011001001121,
490011001001122,
490011001001123,
490011001001124,
490011001001125,
490011001001126,
490011001001127,
490011001001128,
490011001001129,
490011001001130,
490011001001131,
490011001001132,
490011001001133,
490011001001134,
490011001001135,
490011001001136,
490011001001137,
490011001001138,
490011001001139,
490011001001140,
490011001001141,
490011001001142,
490011001001143,
490011001001144,
490011001001145,
490011001001146,
490011001001147,
490011001001148,
490011001001149,
490011001001150,
490011001001151,
490011001001152,
490011001001153,
490011001001154,
490011001001155,
490011001001156,
490011001001157,
490011001001158,
490011001001159,
490011001001160,
490011001001161,
490011001001162,
490011001001163,
490011001001164,
490011001001165,
490011001001166,
490011001001167,
490011001001168,
490011001001169,
490011001001170,
490011001001171,
490011001001172,
490011001001173,
490011001001174,
490011001001175,
490011001001176,
490011001001177,
490011001001178,
490011001001179,
490011001001180,
490011001001181,
490011001001182,
490011001001183,
490011001001184,
490011001001185,
490011001001186,
490011001001187,
490011001001188,
490011001001189,
490011001001190,
490011001001191,
490011001001192,
490011001001193,
490011001001194,
490011001001195,
490011001001196,
490011001001197,
490011001001198,
490011001001199,
490011001001200,
490011001001201,
490011001001202,
490011001001203,
490011001001204,
490011001001205,
490011001001206,
490011001001207,
490011001001208,
490011001001209,
490011001001210,
490011001001211,
490011001001212,
490011001001213,
490011001001214,
490011001001215,
490011001001216,
490011001001217,
490011001001218,
490011001001219,
490011001001220,
490011001001221,
490011001001222,
490011001001223,
490011001001224,
490011001001225,
490011001001226,
490011001001227,
490011001001228,
490011001001229,
490011001001230,
490011001001231,
490011001001232,
490011001001233,
490011001001234,
490011001001235,
490011001001236,
490011001001237,
490011001001238,
490011001001239,
490011001001240,
490011001001241,
490011001001242,
490011001001243,
490011001001244,
490011001001245,
490011001001246,
490011001001247,
490011001001248,
490011001001249,
490011001001250,
490011001001251,
490011001001252,
490011001001253,
490011001001254,
490011001001255,
490011001001256,
490011001001257,
490011001001258,
490011001001259,
490011001001260,
490011001001261,
490011001001262,
490011001001263,
490011001001264,
490011001001265,
490011001001266,
490011001001267,
490011001001268,
490011001001269,
490011001001270,
490011001001271,
490011001001272,
490011001001273,
490011001001274,
490011001001275,04060
490011001001276,
490011001001277,
490011001001278,
490011001001279,
490011001001280,
490011001001281,04060
490011001001282,04060
490011001001283,04060
490011001001284,04060
490011001001285,
490011001001286,
490011001001287,
490011001001288,
490011001001289,
490011001001290,
490011001001291,04060
490011001001292,04060
490011001001293,04060
490011001001294,
490011001001295,
490011001001296,
490011001001297,
490011001001298,
490011001001299,
490011001001300,
490011001001301,
490011001001302,
490011001001303,
490011001001304,
490011001001305,
490011001001306,
490011001001307,
490011001001308,
490011001001309,
490011001001310,
490011001001311,
490011001001312,
490011001001313,
490011001001314,
490011001001315,
490011001001316,
490011001001317,
490011001001318,
490011001001319,
490011001001320,
490011001001321,
490011001001322,
490011001001323,
490011001001324,
490011001001325,
490011001001326,
490011001001327,
490011001001328,
490011001001329,
490011001001330,
490011001001331,04060
490011001001332,
490011001001333,
490011001001334,
490011001001335,
490011001001336,
490011001001337,04060
490011001001338,04060
490011001001339,
490011001001340,
490011001001341,
490011001001342,
490011001001343,
490011001001344,
490011001001345,
490011001001346,
490011001001347,
490011001001348,
490011001001349,
490011001001350,
490011001001351,
490011001001352,
490011001001353,
490011001001354,
490011001001355,04060
490011001001356,04060
490011001001357,
490011001001358,04060
490011001001359,04060
490011001001360,04060
490011001001361,04060
490011001001362,04060
490011001001363,
490011001001364,
490011001001365,
490011001001366,
490011001001367,
490011001001368,
490011001001369,
490011001001370,
490011001001371,
490011001001372,
490011001001373,
490011001001374,
490011001001375,04060
490011001001376,04060
490011001001377,
490011001001378,04060
490011001001379,
490011001001380,
490011001001381,
490011001001382,04060
490011001001383,
490011001001384,
490011001001385,
490011001001386,
490011001001387,
490011001001388,
490011001001389,
490011001001390,
490011001001391,
490011001001392,
490011001001393,
490011001001394,
490011001001395,
490011001001396,
490011001001397,
490011001001398,
490011001001399,04060
490011001001400,04060
490011001001401,04060
490011001001402,04060
490011001001403,04060
490011001001404,04060
490011001001405,04060
490011001001406,04060
490011001001407,04060
490011001001408,04060
490011001001409,04060
490011001001410,04060
490011001001411,04060
490011001001412,
490011001001413,
490011001001414,04060
490011001001415,04060
490011001001416,04060
490011001001417,
490011001001418,
490011001001419,
490011001001420,
490011001001421,
490011001001422,
490011001001423,
490011001001424,
490011001001425,
490011001001426,
490011001001427,
490011001001428,
490011001001429,
490011001001430,
490011001001431,
490011001001432,
490011001001433,
490011001001434,
490011001001435,
490011001001436,
490011001001437,
490011001001438,
490011001001439,
490011001001440,
490011001001441,
490011001001442,
490011001001443,
490011001001444,
490011001001445,
490011001001446,
490011001001447,
490011001001448,
490011001001449,
490011001001450,
490011001001451,
490011001001452,
490011001001453,
490011001001454,
490011001001455,
490011001001456,
490011001001457,
490011001001458,
490011001001459,
490011001001460,
490011001001461,
490011001001462,
490011001001463,
490011001001464,
490011001001465,
490011001001466,
490011001001467,
490011001001468,
490011001001469,
490011001001470,
490011001001471,
490011001001472,
490011001001473,
490011001001474,
490011001001475,
490011001001476,
490011001001477,
490011001001478,
490011001001479,
490011001001480,
490011001001481,
490011001001482,
490011001001483,
490011001001484,
490011001001485,
490011001001486,
490011001001487,
490011001001488,
490011001001489,
490011001001490,
490011001001491,
490011001001492,
490011001001493,
490011001001494,
490011001001495,
490011001001496,
490011001001497,
490011001001498,
490011001001499,
490011001001500,
490011001001501,
490011001001502,
490011001001503,
490011001001504,
490011001001505,
490011001001506,
490011001001507,
490011001001508,
490011001001509,
490011001001510,
490011001001511,
490011001001512,
490011001001513,
490011001001514,
490011001001515,
490011001001516,
490011001001517,
490011001001518,
490011001001519,
490011001001520,
490011001001521,
490011001001522,
490011001001523,
490011001001524,
490011001001525,
490011001001526,
490011001001527,
490011001001528,
490011001001529,
490011001001530,
490011001001531,
490011001001532,
490011001001533,
490011001001534,
490011001001535,
490011001001536,
490011001001537,
490011001001538,
490011001001539,
490011001001540,
490011001001541,
490011001001542,
490011001001543,
490011001001544,
490011001001545,
490011001001546,
490011001001547,
490011001001548,
490011001001549,
490011001001550,
490011001001551,
490011001001552,
490011001001553,
490011001001554,
490011001001555,
490011001001556,
490011001001557,
490011001001558,
490011001001559,
490011001001560,
490011001001561,
490011001001562,
490011001001563,
490011001001564,
490011001001565,
490011001001566,
490011001001567,
490011001001568,
490011001001569,
490011001001570,
490011001001571,
490011001001572,
490011001001573,
490011001001574,
490011001001575,
490011001001576,
490011001001577,
490011001001578,
490011001001579,
490011001001580,
490011001001581,
490011001001582,
490011001001583,
490011001001584,
490011001001585,
490011001001586,
490011001001587,
490011001001588,
490011001001589,
490011001001590,
490011001001591,
490011001001592,
490011001001593,
490011001001594,
490011001001595,
490011001001596,
490011001001597,
490011001001598,
490011001001599,
490011001001600,
490011001001601,
490011001001602,
490011001001603,
490011001001604,
490011001001605,
490011001001606,
490011001001607,
490011001001608,
490011001001609,
490011001001610,
490011001001611,
490011001001612,
490011001001613,
490011001001614,
490011001001615,
490011001001616,
490011001001617,
490011001001618,
490011001001619,
490011001001620,
490011001001621,
490011001001622,
490011001001623,
490011001001624,
490011001001625,
490011001001626,
490011001001627,
490011001001628,
490011001001629,
490011001001630,
490011001001631,
490011001001632,
490011001001633,
490011001001634,
490011001001635,
490011001001636,
490011001001637,
490011001001638,
490011001001639,
490011001001640,
490011001001641,
490011001001642,
490011001001643,
490011001001644,
490011001001645,
490011001001646,
490011001001647,
490011001001648,
490011001001649,
490011001001650,
490011001001651,
490011001001652,
490011001001653,
490011001001654,
490011001001655,
490011001001656,
490011001001657,
490011001001658,
490011001001659,
490011001001660,
490011001001661,
490011001001662,
490011001001663,
490011001001664,
490011001001665,
490011001001666,
490011001001667,
490011001001668,
490011001001669,
490011001001670,
490011001001671,
490011001001672,
490011001001673,
490011001001674,
490011001001675,
490011001001676,
490011001001677,
490011001001678,
490011001001679,
490011001001680,
490011001001681,
490011001001682,
490011001001683,
490011001001684,
490011001001685,
490011001001686,
490011001001687,
490011001001688,
490011001001689,
490011001001690,
490011001001691,
490011001001692,
490011001001693,
490011001001694,
490011001001695,
490011001001696,
490011001001697,
490011001001698,
490011001001699,
490011001001700,
490011001001701,
490011001001702,
490011001001703,
490011001001704,
490011001001705,
490011001001706,
490011001001707,
490011001001708,
490011001001709,
490011001001710,
490011001001711,
490011001001712,
490011001001713,
490011001001714,
490011001001715,
490011001001716,
490011001001717,04060
490011001001718,
490011001001719,
490011001001720,
490011001001721,
490011001001722,
490011001001723,
490011001001724,
490011001001725,04060
490011001001726,04060
490011001001727,
490011001001728,
490011001001729,04060
490011001001730,04060
490011001001731,
490011001001732,
490011001001733,
490011001001734,
490011001001735,
490011001001736,
490011001001737,04060
490011001001738,04060
490011001001739,
490011001001740,
490011001001741,
490011001001742,
490011001001743,
490011001001744,
490011001001745,
490011001001746,
490011001001747,
490011001001748,
490011001001749,
490011001001750,
490011001001751,
490011001001752,
490011001001753,
490011001001754,
490011001001755,
490011001001756,
490011001001757,
490011001001758,
490011001001759,
490011001001760,
490011001001761,
490011001001762,
490011001001763,
490011001001764,
490011001001765,
490011001001766,
490011001001767,
490011001001768,
490011001001769,
490011001001770,
490011001001771,
490011001001772,
490011001001773,
490011001001774,
490011001001775,
490011001001776,
490011001001777,
490011001001778,
490011001001779,
490011001001780,
490011001001781,
490011001001782,
490011001002000,
490011001002001,
490011001002002,
490011001002003,
490011001002004,
490011001002005,
490011001002006,
490011001002007,04060
490011001002008,04060
490011001002009,
490011001002010,
490011001002011,
490011001002012,04060
490011001002013,
490011001002014,04060
490011001002015,04060
490011001002016,04060
490011001002017,04060
490011001002018,04060
490011001002019,04060
490011001002020,
490011001002021,
490011001002022,04060
490011001002023,04060
490011001002024,04060
490011001002025,04060
490011001002026,04060
490011001002027,04060
490011001002028,04060
490011001002029,04060
490011001002030,04060
490011001002031,04060
490011001002032,04060
490011001002033,04060
490011001002034,04060
490011001002035,04060
490011001002036,04060
490011001002037,04060
490011001002038,04060
490011001002039,04060
490011001002040,
490011001002041,04060
490011001002042,04060
490011001002043,
490011001002044,
490011001002045,04060
490011001002046,04060
490011001002047,04060
490011001002048,04060
490011001002049,04060
490011001002050,04060
490011001002051,04060
490011001002052,04060
490011001002053,04060
490011001002054,04060
490011001002055,04060
490011001002056,04060
490011001002057,04060
490011001002058,04060
490011001002059,04060
490011001002060,04060
490011001002061,04060
490011001002062,04060
490011001002063,04060
490011001002064,04060
490011001002065,04060
490011001002066,04060
490011001002067,04060
490011001002068,04060
490011001002069,04060
490011001002070,04060
490011001002071,04060
490011001002072,04060
490011001002073,04060
490011001002074,04060
490011001002075,04060
490011001002076,04060
490011001002077,04060
490011001002078,04060
490011001002079,04060
490011001002080,04060
490011001002081,04060
490011001002082,04060
490011001002083,04060
490011001002084,04060
490011001002085,04060
490011001002086,04060
490011001002087,04060
490011001002088,
490011001002089,
490011001002090,04060
490011001002091,04060
490011001002092,04060
490011001002093,
490011001002094,04060
490011001002095,04060
490011001002096,04060
490011001002097,04060
490011001002098,04060
490011001002099,04060
490011001002100,04060
490011001002101,04060
490011001002102,04060
490011001002103,04060
490011001002104,04060
490011001002105,04060
490011001002106,04060
490011001002107,04060
