BLOCKID,DISTRICT
490011001001000,00060
490011001001001,00060
490011001001002,00060
490011001001003,00060
490011001001004,00060
490011001001005,00060
490011001001006,00060
490011001001007,00060
490011001001008,00060
490011001001009,00060
490011001001010,00060
490011001001011,00060
490011001001012,00060
490011001001013,00060
490011001001014,00060
490011001001015,00060
490011001001016,00060
490011001001017,00060
490011001001018,00060
490011001001019,00060
490011001001020,00060
490011001001021,00060
490011001001022,00060
490011001001023,00060
490011001001024,00060
490011001001025,00060
490011001001026,00060
490011001001027,00060
490011001001028,00060
490011001001029,00060
490011001001030,00060
490011001001031,00060
490011001001032,00060
490011001001033,00060
490011001001034,00060
490011001001035,00060
490011001001036,00060
490011001001037,00060
490011001001038,00060
490011001001039,00060
490011001001040,00060
490011001001041,00060
490011001001042,00060
490011001001043,00060
490011001001044,00060
490011001001045,00060
490011001001046,00060
490011001001047,00060
490011001001048,00060
490011001001049,00060
490011001001050,00060
490011001001051,00060
490011001001052,00060
490011001001053,00060
490011001001054,00060
490011001001055,00060
490011001001056,00060
490011001001057,00060
490011001001058,00060
490011001001059,00060
490011001001060,00060
490011001001061,00060
490011001001062,00060
490011001001063,00060
490011001001064,00060
490011001001065,00060
490011001001066,00060
490011001001067,00060
490011001001068,00060
490011001001069,00060
490011001001070,00060
490011001001071,00060
490011001001072,00060
490011001001073,00060
490011001001074,00060
490011001001075,00060
490011001001076,00060
490011001001077,00060
490011001001078,00060
490011001001079,00060
490011001001080,00060
490011001001081,00060
490011001001082,00060
490011001001083,00060
490011001001084,00060
490011001001085,00060
490011001001086,00060
490011001001087,00060
490011001001088,00060
490011001001089,00060
490011001001090,00060
490011001001091,00060
490011001001092,00060
490011001001093,00060
490011001001094,00060
490011001001095,00060
490011001001096,00060
490011001001097,00060
490011001001098,00060
490011001001099,00060
490011001001100,00060
490011001001101,00060
490011001001102,00060
490011001001103,00060
490011001001104,00060
490011001001105,00060
490011001001106,00060
490011001001107,00060
490011001001108,00060
490011001001109,00060
490011001001110,00060
490011001001111,00060
490011001001112,00060
490011001001113,00060
490011001001114,00060
490011001001115,00060
490011001001116,00060
490011001001117,00060
490011001001118,00060
490011001001119,00060
490011001001120,00060
490011001001121,00060
490011001001122,00060
490011001001123,00060
490011001001124,00060
490011001001125,00060
490011001001126,00060
490011001001127,00060
490011001001128,00060
490011001001129,00060
490011001001130,00060
490011001001131,00060
490011001001132,00060
490011001001133,00060
490011001001134,00060
490011001001135,00060
490011001001136,00060
490011001001137,00060
490011001001138,00060
490011001001139,00060
490011001001140,00060
490011001001141,00060
490011001001142,00060
490011001001143,00060
490011001001144,00060
490011001001145,00060
490011001001146,00060
490011001001147,00060
490011001001148,00060
490011001001149,00060
490011001001150,00060
490011001001151,00060
490011001001152,00060
490011001001153,00060
490011001001154,00060
490011001001155,00060
490011001001156,00060
490011001001157,00060
490011001001158,00060
490011001001159,00060
490011001001160,00060
490011001001161,00060
490011001001162,00060
490011001001163,00060
490011001001164,00060
490011001001165,00060
490011001001166,00060
490011001001167,00060
490011001001168,00060
490011001001169,00060
490011001001170,00060
490011001001171,00060
490011001001172,00060
490011001001173,00060
490011001001174,00060
490011001001175,00060
490011001001176,00060
490011001001177,00060
490011001001178,00060
490011001001179,00060
490011001001180,00060
490011001001181,00060
490011001001182,00060
490011001001183,00060
490011001001184,00060
490011001001185,00060
490011001001186,00060
490011001001187,00060
490011001001188,00060
490011001001189,00060
490011001001190,00060
490011001001191,00060
490011001001192,00060
490011001001193,00060
490011001001194,00060
490011001001195,00060
490011001001196,00060
490011001001197,00060
490011001001198,00060
490011001001199,00060
490011001001200,00060
490011001001201,00060
490011001001202,00060
490011001001203,00060
490011001001204,00060
490011001001205,00060
490011001001206,00060
490011001001207,00060
490011001001208,00060
490011001001209,00060
490011001001210,00060
490011001001211,00060
490011001001212,00060
490011001001213,00060
490011001001214,00060
490011001001215,00060
490011001001216,00060
490011001001217,00060
490011001001218,00060
490011001001219,00060
490011001001220,00060
490011001001221,00060
490011001001222,00060
490011001001223,00060
490011001001224,00060
490011001001225,00060
490011001001226,00060
490011001001227,00060
490011001001228,00060
490011001001229,00060
490011001001230,00060
490011001001231,00060
490011001001232,00060
490011001001233,00060
490011001001234,00060
490011001001235,00060
490011001001236,00060
490011001001237,00060
490011001001238,00060
490011001001239,00060
490011001001240,00060
490011001001241,00060
490011001001242,00060
490011001001243,00060
490011001001244,00060
490011001001245,00060
490011001001246,00060
490011001001247,00060
490011001001248,00060
490011001001249,00060
490011001001250,00060
490011001001251,00060
490011001001252,00060
490011001001253,00060
490011001001254,00060
490011001001255,00060
490011001001256,00060
490011001001257,00060
490011001001258,00060
490011001001259,00060
490011001001260,00060
490011001001261,00060
490011001001262,00060
490011001001263,00060
490011001001264,00060
490011001001265,00060
490011001001266,00060
490011001001267,00060
490011001001268,00060
490011001001269,00060
490011001001270,00060
490011001001271,00060
490011001001272,00060
490011001001273,00060
490011001001274,00060
490011001001275,00060
490011001001276,00060
490011001001277,00060
490011001001278,00060
490011001001279,00060
490011001001280,00060
490011001001281,00060
490011001001282,00060
490011001001283,00060
490011001001284,00060
490011001001285,00060
490011001001286,00060
490011001001287,00060
490011001001288,00060
490011001001289,00060
490011001001290,00060
490011001001291,00060
490011001001292,00060
490011001001293,00060
490011001001294,00060
490011001001295,00060
490011001001296,00060
490011001001297,00060
490011001001298,00060
490011001001299,00060
490011001001300,00060
490011001001301,00060
490011001001302,00060
490011001001303,00060
490011001001304,00060
490011001001305,00060
490011001001306,00060
490011001001307,00060
490011001001308,00060
490011001001309,00060
490011001001310,00060
490011001001311,00060
490011001001312,00060
490011001001313,00060
490011001001314,00060
490011001001315,00060
490011001001316,00060
490011001001317,00060
490011001001318,00060
490011001001319,00060
490011001001320,00060
490011001001321,00060
490011001001322,00060
490011001001323,00060
490011001001324,00060
490011001001325,00060
490011001001326,00060
490011001001327,00060
490011001001328,00060
490011001001329,00060
490011001001330,00060
490011001001331,00060
490011001001332,00060
490011001001333,00060
490011001001334,00060
490011001001335,00060
490011001001336,00060
490011001001337,00060
490011001001338,00060
490011001001339,00060
490011001001340,00060
490011001001341,00060
490011001001342,00060
490011001001343,00060
490011001001344,00060
490011001001345,00060
490011001001346,00060
490011001001347,00060
490011001001348,00060
490011001001349,00060
490011001001350,00060
490011001001351,00060
490011001001352,00060
490011001001353,00060
490011001001354,00060
490011001001355,00060
490011001001356,00060
490011001001357,00060
490011001001358,00060
490011001001359,00060
490011001001360,00060
490011001001361,00060
490011001001362,00060
490011001001363,00060
490011001001364,00060
490011001001365,00060
490011001001366,00060
490011001001367,00060
490011001001368,00060
490011001001369,00060
490011001001370,00060
490011001001371,00060
490011001001372,00060
490011001001373,00060
490011001001374,00060
490011001001375,00060
490011001001376,00060
490011001001377,00060
490011001001378,00060
490011001001379,00060
490011001001380,00060
