BLOCKID,DISTRICT
490011001001000,073
490011001001001,073
490011001001002,073
490011001001003,073
490011001001004,073
490011001001005,073
490011001001006,073
490011001001007,073
490011001001008,073
490011001001009,073
490011001001010,073
490011001001011,073
490011001001012,073
490011001001013,073
490011001001014,073
490011001001015,073
490011001001016,073
490011001001017,073
490011001001018,073
490011001001019,073
490011001001020,073
490011001001021,073
490011001001022,073
490011001001023,073
490011001001024,073
490011001001025,073
490011001001026,073
490011001001027,073
490011001001028,073
490011001001029,073
490011001001030,073
490011001001031,073
490011001001032,073
490011001001033,073
490011001001034,073
490011001001035,073
490011001001036,073
490011001001037,073
490011001001038,073
490011001001039,073
490011001001040,073
490011001001041,073
490011001001042,073
490011001001043,073
490011001001044,073
490011001001045,073
490011001001046,073
490011001001047,073
490011001001048,073
490011001001049,073
490011001001050,073
490011001001051,073
490011001001052,073
490011001001053,073
490011001001054,073
490011001001055,073
490011001001056,073
490011001001057,073
490011001001058,073
490011001001059,073
490011001001060,073
490011001001061,073
490011001001062,073
490011001001063,073
490011001001064,073
490011001001065,073
490011001001066,073
490011001001067,073
490011001001068,073
490011001001069,073
490011001001070,073
490011001001071,073
490011001001072,073
490011001001073,073
490011001001074,073
490011001001075,073
490011001001076,073
490011001001077,073
490011001001078,073
490011001001079,073
490011001001080,073
490011001001081,073
490011001001082,073
490011001001083,073
490011001001084,073
490011001001085,073
490011001001086,073
490011001001087,073
490011001001088,073
490011001001089,073
490011001001090,073
490011001001091,073
490011001001092,073
490011001001093,073
490011001001094,073
490011001001095,073
490011001001096,073
490011001001097,073
490011001001098,073
490011001001099,073
490011001001100,073
490011001001101,073
490011001001102,073
490011001001103,073
490011001001104,073
490011001001105,073
490011001001106,073
490011001001107,073
490011001001108,073
490011001001109,073
490011001001110,073
490011001001111,073
490011001001112,073
490011001001113,073
490011001001114,073
490011001001115,073
490011001001116,073
490011001001117,073
490011001001118,073
490011001001119,073
490011001001120,073
490011001001121,073
490011001001122,073
490011001001123,073
