BLOCKID,DISTRICT
490011001001000,028
490011001001001,028
490011001001002,028
490011001001003,028
490011001001004,028
490011001001005,028
490011001001006,028
490011001001007,028
490011001001008,028
490011001001009,028
490011001001010,028
490011001001011,028
490011001001012,028
490011001001013,028
490011001001014,028
490011001001015,028
490011001001016,028
490011001001017,028
490011001001018,028
490011001001019,028
490011001001020,028
490011001001021,028
490011001001022,028
490011001001023,028
490011001001024,028
490011001001025,028
490011001001026,028
490011001001027,028
490011001001028,028
490011001001029,028
490011001001030,028
490011001001031,028
490011001001032,028
490011001001033,028
490011001001034,028
490011001001035,028
490011001001036,028
490011001001037,028
490011001001038,028
490011001001039,028
490011001001040,028
490011001001041,028
490011001001042,028
490011001001043,028
490011001001044,028
490011001001045,028
490011001001046,028
490011001001047,028
490011001001048,028
490011001001049,028
490011001001050,028
490011001001051,028
490011001001052,028
490011001001053,028
490011001001054,028
490011001001055,028
490011001001056,028
490011001001057,028
490011001001058,028
490011001001059,028
490011001001060,028
490011001001061,028
490011001001062,028
490011001001063,028
490011001001064,028
490011001001065,028
490011001001066,028
490011001001067,028
490011001001068,028
490011001001069,028
490011001001070,028
490011001001071,028
490011001001072,028
490011001001073,028
490011001001074,028
490011001001075,028
490011001001076,028
490011001001077,028
490011001001078,028
490011001001079,028
490011001001080,028
490011001001081,028
490011001001082,028
490011001001083,028
490011001001084,028
490011001001085,028
490011001001086,028
490011001001087,028
490011001001088,028
490011001001089,028
490011001001090,028
490011001001091,028
490011001001092,028
490011001001093,028
490011001001094,028
490011001001095,028
490011001001096,028
490011001001097,028
490011001001098,028
490011001001099,028
490011001001100,028
490011001001101,028
490011001001102,028
490011001001103,028
490011001001104,028
490011001001105,028
490011001001106,028
490011001001107,028
490011001001108,028
490011001001109,028
490011001001110,028
490011001001111,028
490011001001112,028
490011001001113,028
490011001001114,028
490011001001115,028
490011001001116,028
490011001001117,028
490011001001118,028
490011001001119,028
490011001001120,028
490011001001121,028
490011001001122,028
490011001001123,028
490011001001124,028
490011001001125,028
490011001001126,028
490011001001127,028
490011001001128,028
490011001001129,028
490011001001130,028
490011001001131,028
490011001001132,028
490011001001133,028
490011001001134,028
490011001001135,028
490011001001136,028
490011001001137,028
490011001001138,028
490011001001139,028
490011001001140,028
490011001001141,028
490011001001142,028
490011001001143,028
490011001001144,028
490011001001145,028
490011001001146,028
490011001001147,028
490011001001148,028
490011001001149,028
490011001001150,028
490011001001151,028
490011001001152,028
490011001001153,028
490011001001154,028
490011001001155,028
490011001001156,028
490011001001157,028
490011001001158,028
490011001001159,028
490011001001160,028
490011001001161,028
490011001001162,028
490011001001163,028
490011001001164,028
490011001001165,028
490011001001166,028
490011001001167,028
490011001001168,028
490011001001169,028
490011001001170,028
490011001001171,028
490011001001172,028
490011001001173,028
490011001001174,028
490011001001175,028
490011001001176,028
490011001001177,028
490011001001178,028
490011001001179,028
490011001001180,028
490011001001181,028
490011001001182,028
490011001001183,028
490011001001184,028
490011001001185,028
490011001001186,028
490011001001187,028
490011001001188,028
490011001001189,028
490011001001190,028
490011001001191,028
490011001001192,028
490011001001193,028
490011001001194,028
490011001001195,028
490011001001196,028
490011001001197,028
490011001001198,028
490011001001199,028
490011001001200,028
490011001001201,028
490011001001202,028
490011001001203,028
490011001001204,028
490011001001205,028
490011001001206,028
490011001001207,028
490011001001208,028
490011001001209,028
490011001001210,028
490011001001211,028
490011001001212,028
490011001001213,028
490011001001214,028
490011001001215,028
490011001001216,028
490011001001217,028
490011001001218,028
490011001001219,028
490011001001220,028
490011001001221,028
490011001001222,028
490011001001223,028
490011001001224,028
490011001001225,028
490011001001226,028
490011001001227,028
490011001001228,028
490011001001229,028
490011001001230,028
490011001001231,028
490011001001232,028
490011001001233,028
490011001001234,028
490011001001235,028
490011001001236,028
490011001001237,028
490011001001238,028
490011001001239,028
490011001001240,028
490011001001241,028
490011001001242,028
490011001001243,028
490011001001244,028
490011001001245,028
490011001001246,028
490011001001247,028
490011001001248,028
490011001001249,028
490011001001250,028
490011001001251,028
490011001001252,028
490011001001253,028
490011001001254,028
490011001001255,028
490011001001256,028
490011001001257,028
490011001001258,028
490011001001259,028
490011001001260,028
490011001001261,028
490011001001262,028
490011001001263,028
490011001001264,028
490011001001265,028
490011001001266,028
490011001001267,028
490011001001268,028
490011001001269,028
490011001001270,028
490011001001271,028
490011001001272,028
490011001001273,028
490011001001274,028
490011001001275,028
490011001001276,028
490011001001277,028
490011001001278,028
490011001001279,028
490011001001280,028
490011001001281,028
490011001001282,028
490011001001283,028
490011001001284,028
490011001001285,028
490011001001286,028
490011001001287,028
490011001001288,028
490011001001289,028
490011001001290,028
490011001001291,028
490011001001292,028
490011001001293,028
490011001001294,028
490011001001295,028
490011001001296,028
490011001001297,028
490011001001298,028
490011001001299,028
490011001001300,028
490011001001301,028
490011001001302,028
490011001001303,028
490011001001304,028
490011001001305,028
490011001001306,028
490011001001307,028
490011001001308,028
490011001001309,028
490011001001310,028
490011001001311,028
490011001001312,028
490011001001313,028
490011001001314,028
490011001001315,028
490011001001316,028
490011001001317,028
490011001001318,028
490011001001319,028
490011001001320,028
490011001001321,028
490011001001322,028
490011001001323,028
490011001001324,028
490011001001325,028
490011001001326,028
490011001001327,028
490011001001328,028
490011001001329,028
490011001001330,028
490011001001331,028
490011001001332,028
490011001001333,028
490011001001334,028
490011001001335,028
490011001001336,028
490011001001337,028
490011001001338,028
490011001001339,028
490011001001340,028
490011001001341,028
490011001001342,028
490011001001343,028
490011001001344,028
490011001001345,028
490011001001346,028
490011001001347,028
490011001001348,028
490011001001349,028
490011001001350,028
490011001001351,028
490011001001352,028
490011001001353,028
490011001001354,028
490011001001355,028
490011001001356,028
490011001001357,028
490011001001358,028
490011001001359,028
490011001001360,028
490011001001361,028
490011001001362,028
490011001001363,028
490011001001364,028
490011001001365,028
490011001001366,028
490011001001367,028
490011001001368,028
490011001001369,028
490011001001370,028
490011001001371,028
490011001001372,028
490011001001373,028
490011001001374,028
490011001001375,028
490011001001376,028
490011001001377,028
490011001001378,028
490011001001379,028
490011001001380,028
490011001001381,028
490011001001382,028
490011001001383,028
490011001001384,028
490011001001385,028
490011001001386,028
490011001001387,028
490011001001388,028
490011001001389,028
490011001001390,028
490011001001391,028
490011001001392,028
490011001001393,028
490011001001394,028
490011001001395,028
490011001001396,028
490011001001397,028
490011001001398,028
490011001001399,028
490011001001400,028
490011001001401,028
490011001001402,028
490011001001403,028
490011001001404,028
490011001001405,028
490011001001406,028
490011001001407,028
490011001001408,028
490011001001409,028
490011001001410,028
490011001001411,028
490011001001412,028
490011001001413,028
490011001001414,028
490011001001415,028
490011001001416,028
490011001001417,028
490011001001418,028
490011001001419,028
490011001001420,028
490011001001421,028
490011001001422,028
490011001001423,028
490011001001424,028
490011001001425,028
490011001001426,028
490011001001427,028
490011001001428,028
490011001001429,028
490011001001430,028
490011001001431,028
490011001001432,028
490011001001433,028
490011001001434,028
490011001001435,028
490011001001436,028
490011001001437,028
490011001001438,028
490011001001439,028
490011001001440,028
490011001001441,028
490011001001442,028
490011001001443,028
490011001001444,028
490011001001445,028
490011001001446,028
490011001001447,028
490011001001448,028
490011001001449,028
490011001001450,028
490011001001451,028
490011001001452,028
490011001001453,028
490011001001454,028
490011001001455,028
490011001001456,028
490011001001457,028
490011001001458,028
490011001001459,028
490011001001460,028
490011001001461,028
490011001001462,028
490011001001463,028
490011001001464,028
490011001001465,028
490011001001466,028
490011001001467,028
490011001001468,028
490011001001469,028
490011001001470,028
490011001001471,028
490011001001472,028
490011001001473,028
490011001001474,028
490011001001475,028
490011001001476,028
490011001001477,028
490011001001478,028
490011001001479,028
490011001001480,028
490011001001481,028
490011001001482,028
490011001001483,028
490011001001484,028
490011001001485,028
490011001001486,028
490011001001487,028
490011001001488,028
490011001001489,028
490011001001490,028
490011001001491,028
490011001001492,028
490011001001493,028
490011001001494,028
490011001001495,028
490011001001496,028
490011001001497,028
490011001001498,028
490011001001499,028
490011001001500,028
490011001001501,028
490011001001502,028
490011001001503,028
490011001001504,028
490011001001505,028
490011001001506,028
490011001001507,028
490011001001508,028
490011001001509,028
490011001001510,028
490011001001511,028
490011001001512,028
490011001001513,028
490011001001514,028
490011001001515,028
490011001001516,028
490011001001517,028
490011001001518,028
490011001001519,028
490011001001520,028
490011001001521,028
490011001001522,028
490011001001523,028
490011001001524,028
490011001001525,028
490011001001526,028
490011001001527,028
490011001001528,028
490011001001529,028
490011001001530,028
490011001001531,028
490011001001532,028
490011001001533,028
490011001001534,028
490011001001535,028
490011001001536,028
490011001001537,028
490011001001538,028
490011001001539,028
490011001001540,028
490011001001541,028
490011001001542,028
490011001001543,028
490011001001544,028
490011001001545,028
490011001001546,028
490011001001547,028
490011001001548,028
490011001001549,028
490011001001550,028
490011001001551,028
490011001001552,028
490011001001553,028
490011001001554,028
490011001001555,028
490011001001556,028
490011001001557,028
490011001001558,028
490011001001559,028
490011001001560,028
490011001001561,028
490011001001562,028
490011001001563,028
490011001001564,028
490011001001565,028
490011001001566,028
490011001001567,028
490011001001568,028
490011001001569,028
490011001001570,028
490011001001571,028
490011001001572,028
490011001001573,028
490011001001574,028
490011001001575,028
490011001001576,028
490011001001577,028
490011001001578,028
490011001001579,028
490011001001580,028
490011001001581,028
490011001001582,028
490011001001583,028
490011001001584,028
490011001001585,028
490011001001586,028
490011001001587,028
490011001001588,028
490011001001589,028
490011001001590,028
490011001001591,028
490011001001592,028
490011001001593,028
490011001001594,028
490011001001595,028
490011001001596,028
490011001001597,028
490011001001598,028
