BLOCKID,COUNTYFP,DISTRICT
490011001001000,001,BVR3U
490011001001001,001,BVR3U
490011001001002,001,BVR3U
490011001001003,001,BVR3U
490011001001004,001,BVR3U
490011001001005,001,BVR3U
490011001001006,001,BVR3U
490011001001007,001,BVR3U
490011001001008,001,BVR3U
490011001001009,001,BVR3U
490011001001010,001,BVR3U
490011001001011,001,BVR3U
490011001001012,001,BVR3U
490011001001013,001,BVR3U
490011001001014,001,BVR3U
490011001001015,001,BVR3U
490011001001016,001,BVR3U
490011001001017,001,BVR3U
490011001001018,001,BVR3U
490011001001019,001,BVR3U
490011001001020,001,BVR3U
490011001001021,001,BVR3U
490011001001022,001,BVR3U
490011001001023,001,BVR3U
490011001001024,001,BVR3U
490011001001025,001,BVR3U
490011001001026,001,BVR3U
490011001001027,001,BVR3U
490011001001028,001,BVR3U
490011001001029,001,BVR3U
490011001001030,001,BVR3U
490011001001031,001,BVR3U
490011001001032,001,BVR3U
490011001001033,001,MLF1U
490011001001034,001,MLF1U
490011001001035,001,MLF1U
490011001001036,001,BVR3U
490011001001037,001,BVR3U
490011001001038,001,BVR3U
490011001001039,001,BVR3U
490011001001040,001,BVR3U
490011001001041,001,BVR3U
490011001001042,001,BVR3U
490011001001043,001,BVR3U
490011001001044,001,BVR3U
490011001001045,001,BVR3U
490011001001046,001,BVR3U
490011001001047,001,BVR3U
490011001001048,001,BVR3U
490011001001049,001,BVR3U
490011001001050,001,BVR3U
490011001001051,001,BVR3U
490011001001052,001,BVR3U
490011001001053,001,BVR3U
490011001001054,001,BVR3U
490011001001055,001,BVR3U
490011001001056,001,BVR3U
490011001001057,001,BVR3U
490011001001058,001,BVR3U
490011001001059,001,BVR3U
490011001001060,001,BVR3U
490011001001061,001,BVR3U
490011001001062,001,BVR3U
490011001001063,001,BVR3U
490011001001064,001,BVR3U
490011001001065,001,BVR3U
490011001001066,001,BVR3U
490011001001067,001,BVR3U
490011001001068,001,BVR3U
490011001001069,001,BVR3U
490011001001070,001,BVR3U
490011001001071,001,BVR3U
490011001001072,001,BVR3U
490011001001073,001,BVR3U
490011001001074,001,BVR3U
490011001001075,001,BVR3U
490011001001076,001,BVR3U
