BLOCKID,DISTRICT
500019601001000,07740
500019601001001,07740
500019601001002,07740
500019601001003,07740
500019601001004,07740
500019601001005,07740
500019601001006,07740
500019601001007,07740
500019601001008,07740
500019601001009,07740
500019601001010,07740
500019601001011,07740
500019601001012,07740
500019601001013,07740
500019601001014,07740
500019601001015,07740
500019601001016,07740
500019601001017,07740
500019601001018,07740
500019601001019,07740
500019601001020,07740
500019601001021,07740
500019601001022,07740
500019601001023,07740
500019601001024,07740
500019601001025,07740
500019601001026,07740
500019601001027,07740
500019601001028,07740
500019601001029,07740
500019601001030,07740
500019601001031,07740
500019601001032,07740
500019601001033,07740
500019601001034,07740
500019601001035,07740
500019601001036,07740
500019601001037,07740
500019601001038,07740
500019601001039,07740
500019601001040,07740
500019601001041,07740
500019601001042,07740
500019601001043,07740
500019601001044,07740
500019601001045,07740
500019601001046,07740
500019601001047,07740
500019601001048,07740
500019601001049,07740
500019601001050,07740
500019601001051,07740
500019601001052,07740
500019601002000,07740
500019601002001,07740
500019601002002,07740
500019601002003,07740
500019601002004,07740
500019601002005,07740
500019601002006,07740
500019601002007,07740
500019601002008,07740
500019601002009,07740
500019601002010,07740
500019601002011,07740
500019601002012,07740
500019601002013,07740
500019601002014,07740
500019601002015,07740
500019601002016,07740
500019601002017,07740
500019601002018,07740
500019601002019,07740
500019601002020,07740
500019601002021,07740
500019601002022,07740
500019601002023,07740
500019601002024,07740
500019601002025,07740
500019601002026,07740
500019601002027,07740
500019601002028,07740
500019601002029,07740
500019601002030,07740
500019601002031,07740
500019601002032,07740
500019601002033,07740
500019601002034,07740
500019601002035,07740
500019601002036,07740
500019601003000,05640
500019601003001,05640
500019601003002,05640
500019601003003,05640
500019601003004,05640
500019601003005,05640
500019601003006,05640
500019601003007,05640
500019601003008,05640
500019601003009,05640
500019601003010,05640
500019601003011,05640
500019601003012,05640
500019601003013,05640
500019601003014,05640
500019601003015,05640
500019601003016,05640
500019601003017,05640
500019601003018,05640
500019601003019,05640
500019601003020,05640
500019601003021,05640
500019601003022,05640
500019601003023,05640
500019601003024,05640
500019601003025,05640
500019601003026,05640
500019601003027,05640
500019601003028,05640
500019601003029,05640
500019601003030,05640
500019601003031,05640
500019601003032,05640
500019601003033,05640
500019601003034,05640
500019601003035,05640
500019601003036,05640
500019601003037,05640
500019601003038,05640
500019601003039,05640
500019601003040,05640
500019601003041,05640
500019601003042,05640
500019601003043,05640
500019601003044,05640
500019601003045,05640
500019601003046,05640
500019601003047,05640
500019601003048,05640
500019601003049,05640
500019601003050,05640
500019601003051,05640
500019601003052,05640
500019601003053,05640
500019601003054,05640
500019601003055,05640
500019601003056,05640
500019601003057,05640
500019601003058,05640
500019601003059,05640
500019601003060,05640
500019601003061,05640
500019601003062,05640
500019601003063,05640
500019601003064,05640
500019601003065,05640
500019601003066,05640
500019601003067,05640
500019601003068,05640
500019601003069,05640
500019601003070,05640
500019601003071,05640
500019601003072,05640
500019601003073,05640
500019601003074,05640
500019601003075,05640
500019601003076,05640
500019601003077,05640
500019601003078,05640
500019601003079,05640
500019601003080,05640
500019601003081,05640
500019601003082,05640
500019601003083,05640
500019601003084,05640
500019601003085,05640
500019601003086,05640
500019601003087,05640
500019601003088,05640
500019601003089,05640
500019602001000,04050
500019602001001,04050
500019602001002,04050
500019602001003,04050
500019602001004,04050
500019602001005,04050
500019602001006,04050
500019602001007,04050
500019602001008,04050
500019602001009,04050
500019602001010,04050
500019602001011,04050
500019602001012,04050
500019602001013,04050
500019602001014,04050
500019602001015,04050
500019602001016,04050
500019602001017,04050
500019602001018,04050
500019602001019,04050
500019602001020,04050
500019602001021,04050
500019602001022,04050
500019602001023,04050
500019602001024,04050
500019602001025,04050
500019602001026,04050
500019602001027,04050
500019602001028,04050
500019602001029,04050
500019602001030,04050
500019602001031,04050
500019602001032,04050
500019602001033,04050
500019602001034,04050
500019602001035,04050
500019602001036,04050
500019602001037,04050
500019602001038,04050
500019602001039,04050
500019602001040,04050
500019602001041,04050
500019602001042,04050
500019602001043,04050
500019602001044,04050
500019602001045,04050
500019602001046,04050
500019602001047,04050
500019602001048,04050
500019602001049,04050
500019602001050,04050
500019602001051,04050
500019602001052,04050
500019602001053,04050
500019602001054,04050
500019602001055,04050
500019602001056,04050
500019602001057,04050
500019602001058,04050
500019602001059,04050
500019602001060,04050
500019602001061,04050
500019602001062,04050
500019602001063,04050
500019602001064,04050
500019602001065,04050
500019602001066,04050
500019602001067,04050
500019602001068,04050
500019602001069,04050
500019602001070,04050
500019602002000,04050
500019602002001,04050
500019602002002,04050
500019602002003,04050
500019602002004,04050
500019602002005,04050
500019602002006,04050
500019602002007,04050
500019602002008,04050
500019602002009,04050
500019602002010,04050
500019602002011,04050
500019602002012,04050
500019602002013,04050
500019602002014,04050
500019602002015,04050
500019602002016,04050
500019602002017,04050
500019602002018,04050
500019602002019,04050
500019602002020,04050
500019602002021,04050
500019602002022,04050
500019602002023,04050
500019602002024,04050
500019602002025,04050
500019602002026,04050
500019602002027,04050
500019602002028,04050
500019602002029,04050
500019602002030,04050
500019602002031,04050
500019602002032,04050
500019602002033,04050
500019602002034,04050
500019602002035,04050
500019602002036,04050
500019602002037,04050
500019602002038,04050
500019602002039,04050
500019602002040,04050
500019602002041,04050
500019602002042,04050
500019602002043,04050
500019602002044,04050
500019602002045,04050
500019602002046,04050
500019602002047,04050
500019602002048,04050
500019602002049,04050
500019602002050,04050
500019602002051,04050
500019602002052,04050
500019602002053,04050
500019602002054,04050
500019602002055,04050
500019602002056,04050
500019602002057,04050
500019602002058,04050
500019602002059,04050
500019602002060,04050
500019602002061,04050
500019602002062,04050
500019602002063,04050
