BLOCKID,DISTRICT
500019601001000,08235
500019601001001,08235
500019601001002,08235
500019601001003,08235
500019601001004,08235
500019601001005,08235
500019601001006,08235
500019601001007,08235
500019601001008,08235
500019601001009,08235
500019601001010,08235
500019601001011,08235
500019601001012,08235
500019601001013,08235
500019601001014,08235
500019601001015,08235
500019601001016,08235
500019601001017,08235
500019601001018,08235
500019601001019,08235
500019601001020,08235
500019601001021,08235
500019601001022,08235
500019601001023,08235
500019601001024,08235
500019601001025,08235
500019601001026,08235
500019601001027,08235
500019601001028,08235
500019601001029,08235
500019601001030,08235
500019601001031,08235
500019601001032,08235
500019601001033,08235
500019601001034,08235
500019601001035,08235
500019601001036,08235
500019601001037,08235
500019601001038,08235
500019601001039,08235
500019601001040,08235
500019601001041,08235
500019601001042,08235
500019601001043,08235
500019601001044,08235
500019601001045,08235
500019601001046,08235
500019601001047,08235
500019601001048,08235
500019601001049,08235
500019601001050,08235
500019601001051,08235
500019601001052,08235
500019601002000,08235
500019601002001,08235
500019601002002,08235
500019601002003,08235
500019601002004,08235
500019601002005,08235
500019601002006,08235
500019601002007,08235
500019601002008,08235
500019601002009,08235
500019601002010,08235
500019601002011,08235
500019601002012,08235
500019601002013,08235
500019601002014,08235
500019601002015,08235
500019601002016,08235
500019601002017,08235
500019601002018,08235
500019601002019,08235
500019601002020,08235
500019601002021,08235
500019601002022,08235
500019601002023,08235
500019601002024,08235
500019601002025,08235
500019601002026,08235
500019601002027,08235
500019601002028,08235
500019601002029,08235
500019601002030,08235
500019601002031,08235
500019601002032,08235
500019601002033,08235
500019601002034,08235
500019601002035,08235
500019601002036,08235
500019601003000,08235
500019601003001,08235
500019601003002,08235
500019601003003,08235
500019601003004,08235
500019601003005,08235
500019601003006,08235
500019601003007,08235
500019601003008,08235
500019601003009,08235
500019601003010,08235
500019601003011,08235
500019601003012,08235
500019601003013,08235
500019601003014,08235
500019601003015,08235
500019601003016,08235
500019601003017,08235
500019601003018,08235
500019601003019,08235
500019601003020,08235
500019601003021,08235
500019601003022,08235
500019601003023,08235
500019601003024,08235
500019601003025,08235
500019601003026,08235
500019601003027,08235
500019601003028,08235
500019601003029,08235
500019601003030,08235
500019601003031,08235
500019601003032,08235
500019601003033,08235
500019601003034,08235
500019601003035,08235
500019601003036,08235
500019601003037,08235
500019601003038,08235
500019601003039,08235
500019601003040,08235
500019601003041,08235
500019601003042,08235
500019601003043,08235
500019601003044,08235
500019601003045,08235
500019601003046,08235
500019601003047,08235
500019601003048,08235
500019601003049,08235
500019601003050,08235
500019601003051,08235
500019601003052,08235
500019601003053,08235
500019601003054,08235
500019601003055,08235
500019601003056,08235
500019601003057,08235
500019601003058,08235
500019601003059,08235
500019601003060,08235
500019601003061,08235
500019601003062,08235
500019601003063,08235
500019601003064,08235
500019601003065,08235
500019601003066,08235
500019601003067,08235
500019601003068,08235
500019601003069,08235
500019601003070,08235
500019601003071,08235
500019601003072,08235
500019601003073,08235
500019601003074,08235
500019601003075,08235
500019601003076,08235
500019601003077,08235
500019601003078,08235
500019601003079,08235
500019601003080,08235
500019601003081,08235
500019601003082,08235
500019601003083,08235
500019601003084,08235
500019601003085,08235
500019601003086,08235
500019601003087,08235
500019601003088,08235
500019601003089,08235
500019602001000,08280
500019602001001,08280
500019602001002,08280
500019602001003,08280
500019602001004,08280
500019602001005,08280
500019602001006,08280
500019602001007,08280
500019602001008,08280
500019602001009,08280
500019602001010,08280
500019602001011,08280
500019602001012,08280
500019602001013,08280
500019602001014,08280
500019602001015,08280
500019602001016,08280
500019602001017,08280
500019602001018,08280
500019602001019,08280
500019602001020,08280
500019602001021,08280
500019602001022,08280
500019602001023,08280
500019602001024,08280
500019602001025,08280
500019602001026,08280
500019602001027,08280
500019602001028,08280
500019602001029,08280
500019602001030,08280
500019602001031,08280
500019602001032,08280
500019602001033,08280
500019602001034,08280
500019602001035,08280
500019602001036,08280
500019602001037,08280
500019602001038,08280
500019602001039,08280
500019602001040,08280
500019602001041,08280
500019602001042,08280
500019602001043,08280
500019602001044,08280
500019602001045,08280
500019602001046,08280
500019602001047,08280
500019602001048,08280
500019602001049,08280
500019602001050,08280
500019602001051,08280
500019602001052,08280
500019602001053,08280
500019602001054,08280
500019602001055,08280
500019602001056,08280
500019602001057,08280
500019602001058,08280
500019602001059,08280
500019602001060,08280
500019602001061,08280
500019602001062,08280
500019602001063,08280
500019602001064,08280
500019602001065,08280
500019602001066,08280
500019602001067,08280
500019602001068,08280
500019602001069,08280
500019602001070,08280
500019602002000,08280
500019602002001,08280
500019602002002,08280
500019602002003,08280
500019602002004,08280
500019602002005,08280
500019602002006,08280
500019602002007,08280
500019602002008,08280
500019602002009,08280
500019602002010,08280
500019602002011,08280
500019602002012,08280
500019602002013,08280
500019602002014,08280
500019602002015,08280
500019602002016,08280
500019602002017,08280
500019602002018,08280
500019602002019,08280
500019602002020,08280
500019602002021,08280
500019602002022,08280
500019602002023,08280
500019602002024,08280
500019602002025,08280
500019602002026,08280
500019602002027,08280
500019602002028,08280
500019602002029,08280
500019602002030,08280
500019602002031,08280
500019602002032,08280
500019602002033,08280
500019602002034,08280
500019602002035,08280
500019602002036,08280
500019602002037,08280
500019602002038,08280
500019602002039,08280
500019602002040,08280
500019602002041,08280
500019602002042,08280
500019602002043,08280
500019602002044,08280
500019602002045,08280
500019602002046,08280
500019602002047,08280
500019602002048,08280
500019602002049,08280
500019602002050,08280
500019602002051,08280
500019602002052,08280
500019602002053,08280
500019602002054,08280
500019602002055,08280
500019602002056,08280
500019602002057,08280
500019602002058,08280
500019602002059,08280
500019602002060,08280
500019602002061,08280
500019602002062,08280
500019602002063,08280
500019602002064,08280
500019602002065,08280
500019602002066,08280
500019602002067,08280
500019602002068,08280
500019602002069,08280
500019602002070,08280
500019602002071,08280
500019602002072,08280
500019602002073,08280
500019602002074,08280
500019602002075,08280
500019602002076,08280
500019602002077,08280
500019602002078,08280
500019602002079,08280
500019602002080,08280
500019602002081,08280
500019602002082,08280
500019602002083,08280
500019602002084,08280
500019602002085,08280
500019602002086,08280
500019602002087,08280
500019602002088,08280
500019602002089,08280
500019602002090,08280
500019602002091,08280
500019602002092,08280
500019602002093,08280
500019602002094,08280
500019602002095,08280
500019602002096,08280
500019602002097,08280
500019602002098,08280
500019602002099,08280
500019602002100,08280
500019602002101,08280
500019602002102,08280
500019602002103,08280
500019602002104,08280
500019602002105,08280
500019602002106,08280
500019602002107,08280
500019602002108,08280
500019602002109,08280
500019602002110,08280
500019602002111,08280
500019602002112,08280
500019602002113,08280
500019602002114,08280
500019602002115,08280
500019602002116,08280
500019602002117,08280
500019602002118,08280
500019602002119,08280
500019602002120,08280
500019602002121,08280
500019602002122,08280
500019602002123,08280
500019603001000,08280
500019603001001,08280
500019603001002,08280
500019603001003,08280
500019603001004,08280
500019603001005,08280
500019603001006,08280
500019603001007,08280
500019603001008,08280
500019603001009,08280
500019603001010,08280
500019603001011,08280
500019603001012,08280
500019603001013,08280
500019603001014,08280
500019603001015,08280
500019603001016,08280
500019603001017,08280
500019603001018,08280
500019603001019,08280
500019603001020,08280
500019603001021,08280
500019603001022,08280
500019603001023,08280
500019603001024,08280
500019603001025,08280
500019603001026,08280
500019603001027,08280
500019603002000,08280
500019603002001,08280
500019603002002,08280
500019603002003,08280
500019603002004,08280
500019603002005,08280
500019603002006,08280
500019603002007,08280
500019603002008,08280
500019603002009,08280
500019603002010,08280
500019603002011,08280
500019603002012,08280
500019603002013,08280
500019603002014,08280
500019603002015,08280
500019603002016,08280
500019603002017,08280
500019603002018,08280
500019603002019,08280
500019603002020,08280
500019603002021,08280
500019603002022,08280
500019603002023,08280
500019603002024,08280
500019603002025,08280
500019603002026,08280
500019603002027,08280
500019603002028,08280
500019603002029,08280
500019603002030,08280
500019603002031,08280
500019603002032,08280
500019603002033,08280
500019603002034,08280
500019603002035,08280
500019603002036,08280
500019603002037,08280
500019603002038,08280
500019603002039,08280
500019604001000,08235
500019604001001,08235
500019604001002,08235
500019604001003,08235
500019604001004,08235
500019604001005,08235
500019604001006,08235
500019604001007,08235
500019604001008,08235
500019604001009,08235
500019604001010,08235
500019604001011,08235
500019604001012,08235
500019604001013,08235
500019604001014,08235
500019604001015,08235
500019604001016,08235
500019604001017,08235
500019604001018,08235
500019604001019,08235
500019604001020,08235
500019604001021,08235
500019604001022,08235
500019604001023,08235
500019604001024,08235
500019604001025,08235
500019604001026,08235
500019604001027,08235
500019604001028,08235
500019604001029,08235
500019604001030,08235
500019604001031,08235
500019604001032,08235
500019604001033,08235
500019604001034,08235
500019604001035,08235
500019604001036,08235
500019604001037,08235
500019604001038,08235
500019604001039,08235
500019604001040,08235
500019604001041,08235
500019604001042,08235
500019604001043,08235
500019604001044,08235
500019604001045,08235
500019604001046,08235
500019604001047,08235
500019604001048,08235
500019604001049,08235
500019604001050,08235
500019604001051,08235
500019604001052,08235
500019604001053,08235
500019604001054,08235
500019604001055,08235
500019604001056,08235
500019604001057,08235
500019604001058,08235
500019604001059,08235
500019604001060,08235
500019604001061,08235
500019604001062,08235
500019604001063,08235
500019604001064,08235
500019604001065,08235
500019604001066,08235
500019604001067,08235
