BLOCKID,DISTRICT
500019601001000,ADD
500019601001001,ADD
500019601001002,ADD
500019601001003,ADD
500019601001004,ADD
500019601001005,ADD
500019601001006,ADD
500019601001007,ADD
500019601001008,ADD
500019601001009,ADD
500019601001010,ADD
500019601001011,ADD
500019601001012,ADD
500019601001013,ADD
500019601001014,ADD
500019601001015,ADD
500019601001016,ADD
500019601001017,ADD
500019601001018,ADD
500019601001019,ADD
500019601001020,ADD
500019601001021,ADD
500019601001022,ADD
500019601001023,ADD
500019601001024,ADD
500019601001025,ADD
500019601001026,ADD
500019601001027,ADD
500019601001028,ADD
500019601001029,ADD
500019601001030,ADD
500019601001031,ADD
500019601001032,ADD
500019601001033,ADD
500019601001034,ADD
500019601001035,ADD
500019601001036,ADD
500019601001037,ADD
500019601001038,ADD
500019601001039,ADD
500019601001040,ADD
500019601001041,ADD
500019601001042,ADD
500019601001043,ADD
500019601001044,ADD
500019601001045,ADD
500019601001046,ADD
500019601001047,ADD
500019601001048,ADD
500019601001049,ADD
500019601001050,ADD
500019601001051,ADD
500019601001052,ADD
500019601002000,ADD
500019601002001,ADD
500019601002002,ADD
500019601002003,ADD
500019601002004,ADD
500019601002005,ADD
500019601002006,ADD
500019601002007,ADD
500019601002008,ADD
500019601002009,ADD
500019601002010,ADD
500019601002011,ADD
500019601002012,ADD
500019601002013,ADD
500019601002014,ADD
500019601002015,ADD
500019601002016,ADD
500019601002017,ADD
500019601002018,ADD
500019601002019,ADD
500019601002020,ADD
500019601002021,ADD
500019601002022,ADD
500019601002023,ADD
500019601002024,ADD
500019601002025,ADD
500019601002026,ADD
500019601002027,ADD
500019601002028,ADD
500019601002029,ADD
500019601002030,ADD
500019601002031,ADD
500019601002032,ADD
500019601002033,ADD
500019601002034,ADD
500019601002035,ADD
500019601002036,ADD
500019601003000,ADD
500019601003001,ADD
500019601003002,ADD
500019601003003,ADD
500019601003004,ADD
500019601003005,ADD
500019601003006,ADD
500019601003007,ADD
500019601003008,ADD
500019601003009,ADD
500019601003010,ADD
500019601003011,ADD
500019601003012,ADD
500019601003013,ADD
500019601003014,ADD
500019601003015,ADD
500019601003016,ADD
500019601003017,ADD
500019601003018,ADD
500019601003019,ADD
500019601003020,ADD
500019601003021,ADD
