BLOCKID,COUNTYFP,DISTRICT
500019601001000,001,VD19
500019601001001,001,VD19
500019601001002,001,VD19
500019601001003,001,VD19
500019601001004,001,VD19
500019601001005,001,VD19
500019601001006,001,VD19
500019601001007,001,VD19
500019601001008,001,VD19
500019601001009,001,VD19
500019601001010,001,VD19
500019601001011,001,VD19
500019601001012,001,VD19
500019601001013,001,VD19
500019601001014,001,VD19
500019601001015,001,VD19
500019601001016,001,VD19
500019601001017,001,VD19
500019601001018,001,VD19
500019601001019,001,VD19
500019601001020,001,VD19
500019601001021,001,VD19
500019601001022,001,VD19
500019601001023,001,VD19
500019601001024,001,VD19
500019601001025,001,VD19
500019601001026,001,VD19
500019601001027,001,VD19
500019601001028,001,VD19
500019601001029,001,VD19
500019601001030,001,VD19
500019601001031,001,VD19
500019601001032,001,VD19
500019601001033,001,VD19
500019601001034,001,VD19
500019601001035,001,VD19
500019601001036,001,VD19
500019601001037,001,VD19
500019601001038,001,VD19
500019601001039,001,VD19
500019601001040,001,VD19
500019601001041,001,VD19
500019601001042,001,VD19
500019601001043,001,VD19
500019601001044,001,VD19
500019601001045,001,VD19
500019601001046,001,VD19
500019601001047,001,VD19
500019601001048,001,VD19
500019601001049,001,VD19
500019601001050,001,VD19
500019601001051,001,VD19
500019601001052,001,VD19
500019601002000,001,VD19
500019601002001,001,VD19
500019601002002,001,VD19
500019601002003,001,VD19
500019601002004,001,VD19
500019601002005,001,VD19
500019601002006,001,VD19
500019601002007,001,VD19
500019601002008,001,VD19
500019601002009,001,VD19
500019601002010,001,VD19
500019601002011,001,VD19
500019601002012,001,VD19
500019601002013,001,VD19
500019601002014,001,VD19
500019601002015,001,VD19
500019601002016,001,VD19
500019601002017,001,VD19
500019601002018,001,VD19
500019601002019,001,VD19
500019601002020,001,VD19
500019601002021,001,VD19
500019601002022,001,VD19
500019601002023,001,VD19
500019601002024,001,VD19
500019601002025,001,VD19
500019601002026,001,VD19
500019601002027,001,VD19
500019601002028,001,VD19
500019601002029,001,VD19
500019601002030,001,VD19
500019601002031,001,VD19
500019601002032,001,VD19
500019601002033,001,VD19
500019601002034,001,VD19
500019601002035,001,VD19
500019601002036,001,VD19
500019601003000,001,VD12
500019601003001,001,VD12
500019601003002,001,VD12
500019601003003,001,VD12
500019601003004,001,VD12
500019601003005,001,VD12
500019601003006,001,VD12
500019601003007,001,VD12
500019601003008,001,VD12
500019601003009,001,VD12
500019601003010,001,VD12
500019601003011,001,VD12
500019601003012,001,VD12
500019601003013,001,VD12
500019601003014,001,VD12
500019601003015,001,VD12
500019601003016,001,VD12
500019601003017,001,VD12
500019601003018,001,VD12
500019601003019,001,VD12
500019601003020,001,VD12
500019601003021,001,VD12
500019601003022,001,VD12
500019601003023,001,VD12
500019601003024,001,VD12
500019601003025,001,VD12
500019601003026,001,VD12
500019601003027,001,VD12
500019601003028,001,VD12
500019601003029,001,VD12
500019601003030,001,VD12
500019601003031,001,VD12
500019601003032,001,VD12
500019601003033,001,VD12
500019601003034,001,VD12
500019601003035,001,VD12
500019601003036,001,VD12
500019601003037,001,VD12
500019601003038,001,VD12
500019601003039,001,VD12
500019601003040,001,VD12
500019601003041,001,VD12
500019601003042,001,VD12
500019601003043,001,VD12
500019601003044,001,VD12
500019601003045,001,VD12
500019601003046,001,VD12
500019601003047,001,VD12
500019601003048,001,VD12
500019601003049,001,VD12
500019601003050,001,VD12
500019601003051,001,VD12
500019601003052,001,VD12
500019601003053,001,VD12
500019601003054,001,VD12
500019601003055,001,VD12
500019601003056,001,VD12
500019601003057,001,VD12
500019601003058,001,VD12
500019601003059,001,VD12
500019601003060,001,VD12
500019601003061,001,VD12
500019601003062,001,VD12
500019601003063,001,VD12
500019601003064,001,VD12
500019601003065,001,VD12
500019601003066,001,VD12
500019601003067,001,VD12
500019601003068,001,VD12
500019601003069,001,VD12
500019601003070,001,VD12
500019601003071,001,VD12
500019601003072,001,VD12
500019601003073,001,VD12
500019601003074,001,VD12
500019601003075,001,VD12
500019601003076,001,VD12
500019601003077,001,VD12
500019601003078,001,VD12
500019601003079,001,VD12
500019601003080,001,VD12
500019601003081,001,VD12
500019601003082,001,VD12
500019601003083,001,VD12
500019601003084,001,VD12
500019601003085,001,VD12
500019601003086,001,VD12
500019601003087,001,VD12
500019601003088,001,VD12
500019601003089,001,VD12
500019602001000,001,VD5
500019602001001,001,VD5
500019602001002,001,VD5
500019602001003,001,VD5
500019602001004,001,VD5
500019602001005,001,VD5
500019602001006,001,VD5
500019602001007,001,VD5
500019602001008,001,VD5
500019602001009,001,VD5
500019602001010,001,VD5
500019602001011,001,VD5
500019602001012,001,VD5
500019602001013,001,VD5
500019602001014,001,VD5
500019602001015,001,VD5
500019602001016,001,VD5
500019602001017,001,VD5
500019602001018,001,VD5
500019602001019,001,VD5
500019602001020,001,VD5
500019602001021,001,VD5
500019602001022,001,VD5
500019602001023,001,VD5
500019602001024,001,VD5
500019602001025,001,VD5
500019602001026,001,VD5
500019602001027,001,VD5
500019602001028,001,VD5
500019602001029,001,VD5
500019602001030,001,VD5
500019602001031,001,VD5
500019602001032,001,VD5
500019602001033,001,VD5
500019602001034,001,VD5
500019602001035,001,VD5
500019602001036,001,VD5
500019602001037,001,VD5
500019602001038,001,VD5
500019602001039,001,VD5
500019602001040,001,VD5
500019602001041,001,VD5
500019602001042,001,VD5
500019602001043,001,VD5
500019602001044,001,VD5
500019602001045,001,VD5
500019602001046,001,VD5
500019602001047,001,VD5
500019602001048,001,VD5
500019602001049,001,VD5
500019602001050,001,VD5
500019602001051,001,VD5
500019602001052,001,VD5
500019602001053,001,VD5
500019602001054,001,VD5
500019602001055,001,VD5
500019602001056,001,VD5
500019602001057,001,VD5
500019602001058,001,VD5
500019602001059,001,VD5
500019602001060,001,VD5
500019602001061,001,VD5
500019602001062,001,VD5
500019602001063,001,VD5
500019602001064,001,VD5
500019602001065,001,VD5
500019602001066,001,VD5
500019602001067,001,VD5
500019602001068,001,VD5
500019602001069,001,VD5
500019602001070,001,VD5
500019602002000,001,VD5
500019602002001,001,VD5
500019602002002,001,VD5
500019602002003,001,VD5
500019602002004,001,VD5
500019602002005,001,VD5
500019602002006,001,VD5
500019602002007,001,VD5
500019602002008,001,VD5
500019602002009,001,VD5
500019602002010,001,VD5
500019602002011,001,VD5
500019602002012,001,VD5
500019602002013,001,VD5
500019602002014,001,VD5
500019602002015,001,VD5
500019602002016,001,VD5
500019602002017,001,VD5
500019602002018,001,VD5
500019602002019,001,VD5
500019602002020,001,VD5
500019602002021,001,VD5
500019602002022,001,VD5
500019602002023,001,VD5
500019602002024,001,VD5
500019602002025,001,VD5
500019602002026,001,VD5
500019602002027,001,VD5
500019602002028,001,VD5
500019602002029,001,VD5
500019602002030,001,VD5
500019602002031,001,VD5
500019602002032,001,VD5
500019602002033,001,VD5
500019602002034,001,VD5
500019602002035,001,VD5
500019602002036,001,VD5
500019602002037,001,VD5
