BLOCKID,PLACEFP
530019501001000,
530019501001001,
530019501001002,
530019501001003,
530019501001004,
530019501001005,
530019501001006,
530019501001007,
530019501001008,
530019501001009,
530019501001010,
530019501001011,
530019501001012,
530019501001013,
530019501001014,
530019501001015,
530019501001016,
530019501001017,
530019501001018,
530019501001019,
530019501001020,
530019501001021,
530019501001022,
530019501001023,
530019501001024,
530019501001025,
530019501001026,
530019501001027,
530019501001028,
530019501001029,
530019501001030,
530019501001031,
530019501001032,
530019501001033,
530019501001034,
530019501001035,
530019501001036,
530019501001037,
530019501001038,
530019501001039,
530019501001040,
530019501001041,
530019501001042,
530019501001043,
530019501001044,
530019501001045,
530019501001046,
530019501001047,
530019501001048,
530019501001049,
530019501001050,
530019501001051,
530019501001052,
530019501001053,
530019501001054,
530019501001055,
530019501001056,
530019501001057,
530019501001058,
530019501001059,
530019501001060,
530019501001061,
530019501001062,
530019501001063,
530019501001064,
530019501001065,
530019501001066,
530019501001067,
530019501001068,
530019501001069,
530019501001070,
530019501001071,
530019501001072,
530019501001073,
530019501001074,
530019501001075,
530019501001076,
530019501001077,
530019501001078,
530019501001079,
530019501001080,
530019501001081,
530019501001082,
530019501001083,
530019501001084,
530019501001085,
530019501001086,
530019501001087,
530019501001088,
530019501001089,
530019501001090,
530019501001091,
530019501001092,
530019501001093,
530019501001094,
530019501001095,
530019501001096,
530019501001097,
530019501001098,
530019501001099,
530019501001100,
530019501001101,
530019501001102,
530019501001103,
530019501001104,
530019501001105,
530019501001106,
530019501001107,
530019501001108,
530019501001109,
530019501001110,
530019501001111,
530019501001112,
530019501001113,58725
530019501001114,
530019501001115,
530019501001116,
530019501001117,
530019501001118,
530019501001119,
530019501001120,
530019501001121,
530019501001122,
530019501001123,
530019501001124,
530019501001125,
530019501001126,
530019501001127,
530019501001128,
530019501001129,
530019501001130,
530019501001131,
530019501001132,
530019501001133,
530019501001134,
530019501001135,
530019501001136,
530019501001137,
530019501001138,
530019501001139,
530019501001140,
530019501001141,
530019501001142,
530019501001143,
530019501001144,
530019501001145,
