BLOCKID,DISTRICT
530019501001000,009
530019501001001,009
530019501001002,009
530019501001003,009
530019501001004,009
530019501001005,009
530019501001006,009
530019501001007,009
530019501001008,009
530019501001009,009
530019501001010,009
530019501001011,009
530019501001012,009
530019501001013,009
530019501001014,009
530019501001015,009
530019501001016,009
530019501001017,009
530019501001018,009
530019501001019,009
530019501001020,009
530019501001021,009
530019501001022,009
530019501001023,009
530019501001024,009
530019501001025,009
530019501001026,009
530019501001027,009
530019501001028,009
530019501001029,009
530019501001030,009
530019501001031,009
530019501001032,009
530019501001033,009
530019501001034,009
530019501001035,009
530019501001036,009
530019501001037,009
530019501001038,009
530019501001039,009
530019501001040,009
530019501001041,009
530019501001042,009
530019501001043,009
530019501001044,009
530019501001045,009
530019501001046,009
530019501001047,009
530019501001048,009
530019501001049,009
530019501001050,009
530019501001051,009
530019501001052,009
530019501001053,009
530019501001054,009
530019501001055,009
530019501001056,009
530019501001057,009
530019501001058,009
530019501001059,009
530019501001060,009
530019501001061,009
530019501001062,009
530019501001063,009
530019501001064,009
530019501001065,009
530019501001066,009
530019501001067,009
530019501001068,009
530019501001069,009
530019501001070,009
530019501001071,009
530019501001072,009
530019501001073,009
530019501001074,009
530019501001075,009
530019501001076,009
530019501001077,009
530019501001078,009
530019501001079,009
530019501001080,009
530019501001081,009
530019501001082,009
530019501001083,009
530019501001084,009
530019501001085,009
530019501001086,009
530019501001087,009
530019501001088,009
530019501001089,009
530019501001090,009
530019501001091,009
530019501001092,009
530019501001093,009
530019501001094,009
530019501001095,009
530019501001096,009
530019501001097,009
530019501001098,009
530019501001099,009
530019501001100,009
530019501001101,009
530019501001102,009
530019501001103,009
530019501001104,009
530019501001105,009
530019501001106,009
530019501001107,009
530019501001108,009
530019501001109,009
530019501001110,009
530019501001111,009
530019501001112,009
530019501001113,009
530019501001114,009
530019501001115,009
530019501001116,009
530019501001117,009
530019501001118,009
530019501001119,009
530019501001120,009
530019501001121,009
530019501001122,009
530019501001123,009
530019501001124,009
530019501001125,009
530019501001126,009
530019501001127,009
530019501001128,009
530019501001129,009
530019501001130,009
530019501001131,009
530019501001132,009
530019501001133,009
530019501001134,009
530019501001135,009
530019501001136,009
530019501001137,009
530019501001138,009
530019501001139,009
530019501001140,009
530019501001141,009
530019501001142,009
530019501001143,009
530019501001144,009
530019501001145,009
530019501001146,009
530019501001147,009
530019501001148,009
530019501001149,009
530019501001150,009
530019501001151,009
530019501001152,009
530019501001153,009
530019501001154,009
530019501001155,009
530019501001156,009
530019501001157,009
530019501001158,009
530019501001159,009
530019501001160,009
530019501001161,009
530019501001162,009
530019501001163,009
530019501001164,009
530019501001165,009
530019501001166,009
530019501001167,009
530019501001168,009
530019501001169,009
530019501001170,009
530019501001171,009
530019501001172,009
530019501001173,009
530019501001174,009
530019501001175,009
530019501001176,009
530019501001177,009
530019501001178,009
530019501001179,009
530019501001180,009
530019501001181,009
530019501001182,009
530019501001183,009
530019501001184,009
530019501001185,009
530019501001186,009
530019501001187,009
530019501001188,009
530019501001189,009
530019501001190,009
530019501001191,009
530019501001192,009
530019501001193,009
530019501001194,009
530019501001195,009
530019501001196,009
530019501001197,009
530019501001198,009
530019501001199,009
530019501001200,009
530019501001201,009
530019501001202,009
530019501001203,009
530019501001204,009
530019501001205,009
530019501001206,009
530019501001207,009
530019501001208,009
530019501001209,009
530019501001210,009
530019501001211,009
530019501001212,009
530019501001213,009
530019501001214,009
530019501001215,009
530019501001216,009
530019501001217,009
530019501001218,009
530019501001219,009
530019501001220,009
530019501001221,009
530019501001222,009
530019501001223,009
530019501001224,009
530019501001225,009
530019501001226,009
530019501001227,009
530019501001228,009
530019501001229,009
530019501001230,009
530019501001231,009
530019501001232,009
530019501001233,009
530019501001234,009
530019501001235,009
530019501001236,009
530019501001237,009
530019501001238,009
530019501001239,009
530019501001240,009
530019501001241,009
530019501001242,009
530019501001243,009
530019501001244,009
530019501001245,009
530019501001246,009
530019501001247,009
530019501001248,009
530019501001249,009
530019501001250,009
530019501001251,009
530019501001252,009
530019501001253,009
530019501001254,009
530019501001255,009
530019501001256,009
530019501001257,009
530019501001258,009
530019501001259,009
530019501001260,009
530019501001261,009
530019501001262,009
530019501001263,009
530019501001264,009
530019501001265,009
530019501001266,009
530019501001267,009
530019501001268,009
530019501001269,009
530019501001270,009
530019501001271,009
530019501001272,009
530019501001273,009
530019501001274,009
530019501001275,009
530019501001276,009
530019501001277,009
530019501001278,009
530019501001279,009
530019501001280,009
530019501001281,009
530019501001282,009
530019501001283,009
530019501001284,009
530019501001285,009
530019501001286,009
530019501001287,009
530019501001288,009
530019501001289,009
530019501001290,009
530019501001291,009
530019501001292,009
530019501001293,009
530019501001294,009
530019501001295,009
530019501001296,009
530019501001297,009
530019501001298,009
530019501001299,009
530019501001300,009
530019501001301,009
530019501001302,009
530019501001303,009
530019501001304,009
530019501001305,009
530019501001306,009
530019501001307,009
530019501001308,009
530019501001309,009
530019501001310,009
530019501001311,009
530019501001312,009
530019501001313,009
530019501001314,009
530019501001315,009
530019501001316,009
530019501001317,009
530019501001318,009
530019501001319,009
530019501001320,009
530019501001321,009
530019501001322,009
530019501001323,009
530019501001324,009
530019501001325,009
530019501001326,009
530019501001327,009
530019501001328,009
530019501001329,009
530019501001330,009
530019501001331,009
530019501001332,009
530019501001333,009
530019501001334,009
530019501001335,009
530019501001336,009
530019501001337,009
530019501001338,009
530019501001339,009
530019501001340,009
530019501001341,009
530019501001342,009
530019501001343,009
530019501001344,009
530019501001345,009
530019501001346,009
530019501001347,009
530019501001348,009
530019501001349,009
530019501001350,009
530019501001351,009
530019501001352,009
530019501001353,009
530019501001354,009
530019501001355,009
530019501001356,009
530019501001357,009
530019501001358,009
530019501001359,009
530019501001360,009
530019501001361,009
530019501001362,009
530019501001363,009
530019501001364,009
530019501001365,009
530019501001366,009
530019501001367,009
530019501001368,009
530019501001369,009
530019501001370,009
530019501001371,009
530019501001372,009
530019501001373,009
530019501001374,009
530019501001375,009
530019501001376,009
530019501001377,009
530019501001378,009
530019501001379,009
530019501001380,009
530019501001381,009
530019501001382,009
530019501001383,009
530019501001384,009
530019501001385,009
530019501001386,009
530019501001387,009
530019501001388,009
530019501001389,009
530019501001390,009
530019501001391,009
530019501001392,009
530019501001393,009
530019501001394,009
530019501001395,009
530019501001396,009
530019501001397,009
530019501001398,009
530019501001399,009
530019501001400,009
530019501001401,009
530019501001402,009
530019501001403,009
530019501001404,009
530019501001405,009
530019501001406,009
530019501001407,009
530019501001408,009
530019501001409,009
530019501001410,009
530019501001411,009
530019501001412,009
530019501001413,009
530019501001414,009
530019501001415,009
530019501001416,009
530019501001417,009
530019501001418,009
530019501001419,009
530019501001420,009
530019501001421,009
530019501001422,009
530019501001423,009
530019501001424,009
530019501001425,009
530019501001426,009
530019501001427,009
530019501001428,009
530019501001429,009
530019501001430,009
530019501001431,009
530019501001432,009
530019501001433,009
530019501001434,009
530019501002000,009
530019501002001,009
530019501002002,009
530019501002003,009
530019501002004,009
530019501002005,009
530019501002006,009
530019501002007,009
530019501002008,009
530019501002009,009
530019501002010,009
530019501002011,009
530019501002012,009
530019501002013,009
530019501002014,009
530019501002015,009
530019501002016,009
530019501002017,009
530019501002018,009
530019501002019,009
530019501002020,009
530019501002021,009
530019501002022,009
530019501002023,009
530019501002024,009
530019501002025,009
530019501002026,009
530019501002027,009
530019501002028,009
530019501002029,009
530019501002030,009
530019501002031,009
530019501002032,009
530019501002033,009
530019501002034,009
530019501002035,009
530019501002036,009
530019501002037,009
530019501002038,009
530019501002039,009
530019501002040,009
530019501002041,009
530019501002042,009
530019501002043,009
530019501002044,009
530019501002045,009
530019501002046,009
530019501002047,009
530019501002048,009
530019501002049,009
530019501002050,009
530019501002051,009
530019501002052,009
530019501002053,009
530019501002054,009
530019501002055,009
530019501002056,009
530019501002057,009
530019501002058,009
530019501002059,009
530019501002060,009
530019501002061,009
530019501002062,009
530019501002063,009
530019501002064,009
530019501002065,009
530019501002066,009
530019501002067,009
530019501002068,009
530019501002069,009
530019501002070,009
530019501002071,009
530019501002072,009
530019501002073,009
530019501002074,009
530019501002075,009
530019501002076,009
530019501002077,009
530019501002078,009
530019501002079,009
530019501002080,009
530019501002081,009
530019501002082,009
530019501002083,009
530019501002084,009
530019501002085,009
530019501002086,009
530019501002087,009
530019501002088,009
530019501002089,009
530019501002090,009
530019501002091,009
530019501002092,009
530019501002093,009
530019501002094,009
530019501002095,009
530019501002096,009
530019501002097,009
530019501002098,009
530019501002099,009
530019501002100,009
530019501002101,009
530019501002102,009
530019501002103,009
530019501002104,009
530019501002105,009
530019501002106,009
530019501002107,009
530019501002108,009
530019501002109,009
530019501002110,009
530019501002111,009
530019501002112,009
530019501002113,009
530019501003000,009
530019501003001,009
530019501003002,009
530019501003003,009
530019501003004,009
530019501003005,009
530019501003006,009
530019501003007,009
530019501003008,009
530019501003009,009
530019501003010,009
530019501003011,009
530019501003012,009
530019501003013,009
530019501003014,009
530019501003015,009
530019501003016,009
530019501003017,009
530019501003018,009
530019501003019,009
530019501003020,009
530019501003021,009
530019501003022,009
530019501003023,009
530019501003024,009
530019501003025,009
530019501003026,009
530019501003027,009
530019501003028,009
530019501003029,009
530019501003030,009
530019501003031,009
530019501003032,009
530019501003033,009
530019501003034,009
530019501003035,009
530019501003036,009
530019501003037,009
530019501003038,009
530019501003039,009
530019501003040,009
530019501003041,009
530019501003042,009
530019501003043,009
530019501003044,009
530019501003045,009
530019501003046,009
530019501003047,009
530019501003048,009
530019501003049,009
530019501003050,009
530019501003051,009
530019501003052,009
530019501003053,009
530019501003054,009
530019501003055,009
530019501003056,009
530019501003057,009
