BLOCKID,PLACEFP
540019655001000,
540019655001001,
540019655001002,
540019655001003,
540019655001004,29740
540019655001005,29740
540019655001006,29740
540019655001007,29740
540019655001008,29740
540019655001009,29740
540019655001010,29740
540019655001011,29740
540019655001012,
540019655001013,
540019655001014,
540019655001015,
540019655001016,
540019655001017,
540019655001018,
540019655001019,
540019655001020,
540019655001021,
540019655001022,
540019655001023,
540019655001024,
540019655001025,
540019655001026,
540019655001027,
540019655001028,
540019655001029,
540019655001030,
540019655001031,
540019655001032,
540019655001033,
540019655001034,
540019655001035,
540019655001036,29740
540019655001037,29740
540019655001038,
540019655001039,
540019655001040,
540019655001041,
540019655001042,
540019655001043,
540019655001044,
540019655001045,
540019655001046,
540019655001047,
540019655001048,
540019655001049,
540019655001050,
540019655001051,29740
540019655001052,
540019655001053,
540019655001054,
540019655001055,
540019655001056,
540019655001057,
540019655001058,
540019655001059,
540019655001060,
540019655001061,
540019655001062,
540019655001063,
540019655001064,
540019655001065,63292
540019655001066,
540019655001067,
540019655001068,63292
540019655001069,
540019655001070,63292
540019655001071,
540019655001072,
540019655001073,
540019655001074,
540019655001075,
540019655001076,
540019655001077,
540019655001078,
540019655001079,
540019655001080,
540019655001081,
540019655001082,
540019655001083,
540019655001084,
540019655001085,
540019655001086,
540019655001087,
540019655001088,
540019655001089,
540019655001090,
540019655001091,
540019655001092,
540019655001093,
540019655001094,
540019655001095,
540019655001096,
540019655001097,
540019655001098,
540019655001099,
540019655001100,
540019655001101,
540019655001102,63292
540019655001103,63292
540019655002000,
540019655002001,
540019655002002,
540019655002003,
540019655002004,
540019655002005,
540019655002006,
540019655002007,
540019655002008,
540019655002009,
540019655002010,
540019655002011,
540019655002012,
540019655002013,
540019655002014,
540019655002015,
540019655002016,
540019655002017,
540019655002018,
540019655002019,
540019655002020,
540019655002021,
540019655002022,
540019655002023,
540019655002024,
540019655002025,
540019655002026,
540019655002027,
540019655002028,
540019655002029,
540019655002030,
540019655002031,
540019655002032,
540019655002033,
540019655002034,
540019655002035,
540019655002036,
540019655002037,
540019655002038,
540019655002039,
540019655002040,
540019655002041,
540019655002042,
540019655002043,
540019655002044,
540019655002045,
540019655002046,
540019655002047,
540019655002048,
540019655002049,
540019655002050,
540019655002051,
540019655002052,
540019655002053,
540019655002054,
540019655002055,
540019655002056,
540019655002057,
540019655002058,
540019655002059,
540019655002060,
540019655002061,
540019655002062,
540019655002063,
540019655002064,
540019655002065,
540019655002066,
540019655002067,
540019655002068,
540019655002069,
540019655002070,
540019655002071,
540019655002072,
540019655002073,
540019655002074,
540019655002075,
540019655002076,
540019655002077,
540019655002078,
540019655002079,
540019655002080,
540019655002081,
540019655002082,
540019655002083,
540019655002084,
540019655002085,
540019655002086,
540019655002087,
540019655002088,
540019655002089,
540019655002090,
540019655002091,
540019655002092,
540019655002093,
540019655002094,
540019655002095,
540019655002096,
540019655002097,
540019655002098,
540019655002099,
540019655002100,
540019655002101,
540019655002102,
540019655002103,
540019655002104,
540019655002105,
540019655002106,
540019655002107,
540019655002108,
540019655002109,
540019655002110,
540019655002111,
540019655002112,
540019655002113,
540019655002114,
540019655002115,
540019655002116,
540019655002117,
540019655002118,
540019655002119,
540019655002120,
540019655002121,
540019655002122,
540019655002123,
540019655002124,
540019655002125,
540019655002126,
540019655002127,
540019655002128,
540019655002129,
540019655002130,
540019655002131,
540019655002132,
540019655002133,
540019655002134,
540019655002135,
540019655002136,
540019655002137,
540019655002138,
540019655002139,
540019655002140,
540019655002141,
540019655002142,
540019655002143,
540019655002144,
540019655002145,
540019655002146,
540019655002147,
540019655002148,
540019655002149,
540019655002150,
540019655002151,
540019655002152,
540019655002153,
540019655002154,
540019655002155,
540019655002156,
540019655002157,
540019655002158,
540019655002159,
540019655002160,
540019655002161,
540019655002162,
540019655002163,
540019655002164,
540019655002165,
540019655002166,
540019655002167,
540019655002168,
540019655002169,
540019655002170,
540019655002171,
540019655002172,
540019655002173,
540019655002174,
540019655002175,
540019655002176,
540019655002177,
540019655002178,
540019655002179,
540019655002180,
540019655002181,
540019655002182,
540019655002183,63292
540019655002184,63292
540019655002185,
540019655002186,
540019655002187,
540019655002188,
540019655002189,
540019655002190,
540019655003000,
540019655003001,
540019655003002,
540019655003003,
540019655003004,
540019655003005,
540019655003006,
540019655003007,
540019655003008,
540019655003009,
540019655003010,
540019655003011,
540019655003012,
540019655003013,
540019655003014,
540019655003015,
540019655003016,
540019655003017,
540019655003018,
540019655003019,
540019655003020,
540019655003021,
