BLOCKID,COUNTYFP,DISTRICT
540019655001000,001,20
540019655001001,001,20
540019655001002,001,20
540019655001003,001,21
540019655001004,001,21
540019655001005,001,21
540019655001006,001,21
540019655001007,001,21
540019655001008,001,21
540019655001009,001,21
540019655001010,001,21
540019655001011,001,21
540019655001012,001,21
540019655001013,001,21
540019655001014,001,21
540019655001015,001,21
540019655001016,001,21
540019655001017,001,21
540019655001018,001,21
540019655001019,001,20
540019655001020,001,20
540019655001021,001,20
540019655001022,001,20
540019655001023,001,20
540019655001024,001,20
540019655001025,001,20
540019655001026,001,20
540019655001027,001,20
540019655001028,001,20
540019655001029,001,20
540019655001030,001,20
540019655001031,001,20
540019655001032,001,20
540019655001033,001,20
540019655001034,001,20
540019655001035,001,20
540019655001036,001,21
540019655001037,001,21
540019655001038,001,21
540019655001039,001,21
540019655001040,001,22
540019655001041,001,22
540019655001042,001,21
540019655001043,001,21
540019655001044,001,22
540019655001045,001,21
540019655001046,001,21
540019655001047,001,21
540019655001048,001,22
540019655001049,001,21
540019655001050,001,21
540019655001051,001,21
540019655001052,001,21
540019655001053,001,20
540019655001054,001,20
540019655001055,001,20
540019655001056,001,20
540019655001057,001,20
540019655001058,001,20
540019655001059,001,21
540019655001060,001,21
540019655001061,001,21
540019655001062,001,20
540019655001063,001,20
540019655001064,001,20
540019655001065,001,20
540019655001066,001,20
540019655001067,001,20
540019655001068,001,20
540019655001069,001,20
540019655001070,001,20
540019655001071,001,20
540019655001072,001,20
540019655001073,001,20
540019655001074,001,20
540019655001075,001,20
540019655001076,001,20
540019655001077,001,20
540019655001078,001,20
540019655001079,001,20
540019655001080,001,20
540019655001081,001,20
540019655001082,001,20
540019655001083,001,20
540019655001084,001,20
540019655001085,001,19
540019655001086,001,19
540019655001087,001,19
540019655001088,001,19
540019655001089,001,19
540019655001090,001,20
540019655001091,001,19
540019655001092,001,20
540019655001093,001,20
540019655001094,001,20
540019655001095,001,22
540019655001096,001,20
540019655001097,001,20
540019655001098,001,20
540019655001099,001,20
540019655001100,001,20
540019655001101,001,20
540019655001102,001,20
540019655001103,001,20
540019655002000,001,21
540019655002001,001,21
540019655002002,001,21
540019655002003,001,21
540019655002004,001,21
540019655002005,001,22
540019655002006,001,22
540019655002007,001,22
540019655002008,001,22
540019655002009,001,22
540019655002010,001,22
540019655002011,001,22
540019655002012,001,22
540019655002013,001,22
540019655002014,001,22
540019655002015,001,22
540019655002016,001,22
540019655002017,001,22
540019655002018,001,22
540019655002019,001,19
540019655002020,001,19
540019655002021,001,19
540019655002022,001,19
540019655002023,001,19
540019655002024,001,19
540019655002025,001,19
540019655002026,001,22
540019655002027,001,22
540019655002028,001,22
540019655002029,001,22
540019655002030,001,22
540019655002031,001,22
540019655002032,001,22
540019655002033,001,22
540019655002034,001,22
540019655002035,001,22
540019655002036,001,22
540019655002037,001,22
540019655002038,001,22
540019655002039,001,22
540019655002040,001,19
540019655002041,001,19
540019655002042,001,19
540019655002043,001,19
540019655002044,001,19
540019655002045,001,19
540019655002046,001,19
540019655002047,001,19
540019655002048,001,19
540019655002049,001,19
540019655002050,001,19
540019655002051,001,19
540019655002052,001,19
540019655002053,001,19
540019655002054,001,19
540019655002055,001,19
540019655002056,001,19
540019655002057,001,19
540019655002058,001,19
540019655002059,001,19
540019655002060,001,19
540019655002061,001,19
540019655002062,001,19
540019655002063,001,19
540019655002064,001,19
540019655002065,001,19
540019655002066,001,19
540019655002067,001,19
540019655002068,001,19
540019655002069,001,19
540019655002070,001,19
540019655002071,001,19
540019655002072,001,19
540019655002073,001,19
540019655002074,001,19
540019655002075,001,19
540019655002076,001,19
540019655002077,001,19
540019655002078,001,19
540019655002079,001,19
