BLOCKID,DISTRICT
560019627001000,014
560019627001001,014
560019627001002,014
560019627001003,014
560019627001004,014
560019627001005,014
560019627001006,014
560019627001007,014
560019627001008,014
560019627001009,014
560019627001010,014
560019627001011,014
560019627001012,014
560019627001013,014
560019627001014,014
560019627001015,014
560019627001016,014
560019627001017,014
560019627001018,014
560019627001019,014
560019627001020,014
560019627001021,046
560019627001022,046
560019627001023,046
560019627001024,046
560019627001025,046
560019627001026,046
560019627001027,046
560019627001028,046
560019627001029,046
560019627001030,046
560019627001031,046
560019627001032,046
560019627001033,046
560019627001034,046
560019627001035,046
560019627001036,046
560019627001037,046
560019627001038,046
560019627001039,046
560019627001040,046
560019627001041,046
560019627001042,046
560019627001043,046
560019627001044,046
560019627001045,046
560019627001046,046
560019627001047,046
560019627001048,046
560019627001049,046
560019627001050,046
560019627001051,046
560019627001052,046
560019627001053,046
560019627001054,046
560019627001055,046
560019627001056,046
560019627001057,046
560019627001058,046
560019627001059,046
560019627001060,046
560019627001061,046
560019627001062,046
560019627001063,046
560019627001064,046
560019627001065,046
560019627001066,046
560019627001067,046
560019627001068,046
560019627001069,046
560019627001070,046
560019627001071,046
560019627001072,046
560019627001073,046
560019627001074,046
560019627001075,046
560019627001076,046
560019627001077,046
560019627001078,046
560019627001079,046
560019627001080,046
560019627001081,046
560019627001082,046
560019627001083,046
560019627001084,046
560019627001085,046
560019627001086,046
560019627001087,046
560019627001088,046
560019627001089,046
560019627001090,046
560019627001091,046
560019627001092,046
560019627001093,046
560019627001094,046
560019627001095,046
560019627001096,046
560019627001097,046
560019627001098,046
560019627001099,046
560019627001100,046
560019627001101,046
560019627001102,046
560019627001103,046
560019627001104,046
560019627001105,046
560019627001106,046
560019627001107,046
560019627001108,046
560019627001109,046
560019627001110,046
560019627001111,046
560019627001112,046
560019627001113,046
560019627001114,046
560019627001115,046
560019627001116,046
560019627001117,046
560019627001118,046
560019627001119,046
560019627001120,046
560019627001121,046
560019627001122,046
560019627001123,046
560019627001124,046
560019627001125,046
560019627001126,046
560019627001127,046
560019627001128,046
560019627001129,046
560019627001130,046
560019627001131,046
560019627001132,046
560019627001133,046
560019627001134,046
560019627001135,046
560019627001136,046
560019627001137,046
560019627001138,046
560019627001139,046
560019627001140,046
560019627001141,014
560019627001142,014
560019627001143,014
560019627001144,014
560019627001145,046
560019627001146,046
560019627001147,046
560019627001148,046
560019627001149,046
560019627001150,046
560019627001151,014
560019627001152,014
560019627001153,014
560019627001154,014
560019627001155,014
560019627001156,014
560019627001157,046
560019627001158,046
560019627001159,014
560019627001160,014
560019627001161,014
560019627001162,014
560019627001163,014
560019627001164,014
560019627001165,014
560019627001166,014
560019627001167,014
560019627001168,014
560019627001169,014
560019627001170,014
560019627001171,014
560019627001172,014
560019627001173,014
560019627001174,014
560019627001175,014
560019627001176,014
560019627001177,014
560019627001178,014
560019627001179,014
560019627001180,014
560019627001181,014
560019627001182,014
560019627001183,014
560019627001184,014
560019627001185,014
560019627001186,014
560019627001187,014
560019627001188,014
560019627001189,014
560019627001190,014
560019627001191,014
560019627001192,014
560019627001193,014
560019627001194,014
560019627001195,014
560019627001196,014
560019627001197,014
560019627001198,014
560019627001199,014
560019627001200,014
560019627001201,014
560019627001202,014
560019627001203,014
560019627001204,014
560019627001205,014
560019627001206,014
560019627001207,014
560019627001208,014
560019627001209,014
560019627001210,014
560019627001211,014
560019627001212,014
560019627001213,014
560019627001214,014
560019627001215,014
560019627001216,014
560019627001217,014
560019627001218,014
560019627001219,014
560019627001220,014
560019627001221,014
560019627001222,014
560019627001223,014
560019627001224,046
560019627001225,046
560019627001226,046
560019627001227,046
560019627001228,046
560019627001229,046
560019627001230,046
560019627001231,046
560019627001232,046
560019627001233,046
560019627001234,046
560019627001235,046
560019627001236,046
560019627001237,046
560019627001238,046
560019627001239,046
560019627001240,046
560019627001241,046
560019627001242,046
560019627001243,046
560019627001244,046
560019627001245,046
560019627001246,046
560019627001247,046
560019627001248,046
560019627001249,046
560019627001250,046
560019627001251,046
560019627001252,046
560019627001253,046
560019627001254,046
560019627001255,046
560019627001256,046
560019627001257,046
560019627001258,046
560019627001259,046
560019627001260,046
560019627001261,046
560019627001262,046
560019627001263,046
560019627001264,046
560019627001265,046
560019627001266,046
560019627001267,046
560019627001268,046
560019627001269,046
560019627001270,046
560019627001271,046
560019627001272,046
560019627001273,046
560019627001274,046
560019627001275,046
560019627001276,046
560019627001277,046
560019627001278,046
560019627001279,046
560019627001280,046
560019627001281,046
560019627001282,046
560019627001283,046
560019627001284,046
560019627001285,046
560019627001286,046
560019627001287,046
560019627001288,046
560019627001289,046
560019627001290,046
560019627001291,046
560019627001292,046
560019627001293,046
560019627001294,046
560019627001295,046
560019627001296,046
560019627001297,046
560019627001298,046
560019627001299,046
560019627001300,046
560019627001301,046
560019627001302,046
560019627001303,046
560019627001304,046
560019627001305,046
560019627001306,046
560019627001307,046
560019627001308,046
560019627001309,046
560019627001310,046
560019627001311,046
560019627001312,046
560019627001313,046
560019627001314,045
560019627001315,046
560019627001316,046
560019627001317,046
560019627001318,046
560019627001319,046
560019627001320,046
560019627001321,046
560019627001322,046
560019627001323,046
560019627001324,046
560019627001325,046
560019627001326,046
560019627001327,046
560019627001328,046
560019627001329,046
560019627001330,046
560019627001331,046
560019627001332,046
560019627001333,046
560019627001334,046
560019627001335,046
560019627001336,046
560019627001337,046
560019627001338,046
560019627001339,046
560019627001340,046
560019627001341,046
560019627001342,046
560019627001343,046
560019627001344,046
560019627001345,046
560019627001346,046
560019627001347,046
560019627001348,046
560019627001349,046
560019627001350,046
560019627001351,046
560019627001352,046
560019627001353,046
560019627001354,046
560019627001355,046
560019627001356,046
560019627001357,046
560019627001358,046
560019627001359,046
560019627001360,046
560019627001361,046
560019627001362,046
560019627001363,046
560019627001364,046
560019627001365,046
560019627001366,046
560019627001367,046
560019627001368,046
560019627001369,046
560019627001370,046
560019627001371,046
560019627001372,046
560019627001373,046
560019627001374,046
560019627001375,046
560019627001376,046
560019627001377,046
560019627001378,046
560019627001379,046
560019627001380,046
560019627001381,046
560019627001382,046
560019627001383,046
560019627001384,046
560019627001385,046
560019627001386,046
560019627001387,046
560019627001388,046
560019627001389,046
560019627001390,046
560019627001391,046
560019627001392,046
560019627001393,046
560019627001394,046
560019627001395,046
560019627001396,046
560019627001397,046
560019627001398,046
560019627001399,014
560019627001400,046
560019627001401,046
560019627001402,046
560019627001403,046
560019627001404,046
560019627001405,046
560019627001406,046
560019627001407,046
560019627001408,046
560019627001409,046
560019627001410,046
560019627001411,046
560019627001412,046
560019627001413,046
560019627001414,046
560019627001415,046
560019627001416,014
560019627001417,014
560019627001418,014
560019627001419,046
560019627001420,046
560019627001421,046
560019627001422,046
560019627001423,046
560019627001424,046
560019627001425,046
560019627001426,046
560019627001427,046
560019627001428,046
560019627001429,046
560019627001430,046
560019627001431,046
560019627001432,046
560019627001433,046
560019627001434,046
560019627001435,046
560019627001436,014
560019627001437,014
560019627001438,046
560019627001439,014
560019627001440,014
560019627001441,046
560019627001442,014
560019627001443,014
560019627001444,046
560019627001445,046
560019627001446,046
560019627001447,014
560019627001448,046
560019627001449,046
560019627001450,046
560019627001451,046
560019627002000,045
560019627002001,045
560019627002002,045
560019627002003,045
560019627002004,045
560019627002005,045
560019627002006,045
560019627002007,045
560019627002008,045
560019627002009,045
560019627002010,045
560019627002011,045
560019627002012,045
560019627002013,045
560019627002014,045
560019627002015,045
560019627002016,045
560019627002017,045
560019627002018,045
560019627002019,045
560019627002020,045
560019627002021,045
560019627002022,045
560019627002023,045
560019627002024,045
560019627002025,045
560019627002026,045
560019627002027,045
560019627002028,045
560019627002029,045
560019627002030,045
560019627002031,045
560019627002032,045
560019627002033,046
560019627002034,045
560019627002035,045
560019627002036,046
560019627002037,046
560019627002038,046
560019627002039,046
560019627002040,046
560019627002041,045
560019627002042,046
560019627002043,045
560019627002044,046
560019627002045,045
560019627002046,045
560019627002047,045
560019627002048,046
560019627002049,046
560019627002050,046
560019627002051,046
560019627002052,046
560019627002053,045
560019627002054,046
560019627002055,045
560019627002056,046
560019627002057,046
560019627002058,046
560019627002059,046
560019627002060,046
560019627002061,046
560019627002062,046
560019627002063,046
560019627002064,046
560019627002065,045
560019627002066,045
560019627002067,045
560019627002068,046
560019627002069,046
560019627002070,046
560019627002071,046
560019627002072,046
560019627002073,046
560019627002074,046
560019627002075,046
560019627002076,046
560019627002077,046
560019627002078,046
560019627002079,046
560019627002080,046
560019627002081,046
560019627002082,046
560019627002083,046
560019627002084,046
560019627002085,046
560019627002086,046
560019627002087,046
560019627002088,046
560019627002089,046
560019627002090,046
560019627002091,046
560019627002092,046
560019627002093,046
560019627002094,046
560019627002095,046
560019627002096,046
560019627002097,046
560019627002098,046
560019627002099,046
560019627002100,046
560019627002101,046
560019627002102,046
560019627002103,046
560019627002104,046
560019627002105,046
560019627002106,046
560019627002107,046
560019627002108,046
560019627002109,046
560019627002110,046
560019627002111,046
560019627002112,046
560019627002113,046
560019627002114,046
560019627002115,046
560019627002116,046
560019627002117,046
560019627002118,046
560019627002119,046
560019627002120,046
560019627002121,046
560019627002122,046
560019627002123,046
560019627002124,046
560019627002125,046
560019627002126,046
560019627002127,046
560019627002128,046
560019627002129,046
560019627002130,046
560019627002131,046
560019627002132,046
560019627002133,046
560019627002134,046
560019627002135,045
560019627002136,045
560019627002137,046
560019627002138,046
560019627002139,046
560019627002140,046
560019627002141,046
560019627002142,046
560019627002143,045
560019627002144,045
560019627002145,045
560019627002146,045
560019627002147,045
560019627002148,046
560019627002149,046
560019628001000,046
560019628001001,046
560019628001002,045
560019628001003,045
560019628001004,046
560019628001005,046
560019628001006,046
560019628001007,046
560019628001008,046
560019628001009,046
560019628001010,045
560019628001011,046
560019628001012,046
560019628001013,046
560019628001014,046
560019628001015,046
560019628001016,046
560019628001017,045
560019628001018,046
560019628001019,045
560019628001020,045
560019628001021,045
560019628001022,045
560019628001023,045
560019628001024,046
560019628001025,046
560019628001026,045
560019628001027,046
560019628001028,045
560019628001029,045
560019628001030,046
560019628001031,046
560019628001032,046
560019628001033,045
560019628001034,045
560019628001035,045
560019628001036,045
560019628001037,045
560019628001038,046
560019628001039,046
560019628001040,045
560019628001041,045
560019628001042,045
560019628001043,046
560019628001044,046
560019628001045,045
560019628001046,045
560019628001047,045
560019628001048,045
560019628001049,045
560019628001050,045
560019628001051,045
560019628001052,045
560019628001053,046
560019628001054,045
560019628001055,045
560019628001056,045
560019628001057,045
560019628001058,045
560019628001059,045
560019628001060,045
560019628001061,045
560019628001062,045
560019628001063,045
560019628001064,045
560019628001065,046
560019628001066,046
560019628001067,046
560019628001068,045
560019628001069,045
560019628001070,045
560019628001071,045
560019628001072,045
560019628001073,045
560019628001074,045
560019628001075,045
560019628001076,045
560019628001077,045
560019628001078,045
560019628001079,045
560019628001080,045
560019628001081,045
560019628001082,045
560019628001083,045
560019628001084,045
560019628001085,045
560019628001086,045
560019628001087,045
560019628002000,045
560019628002001,045
560019628002002,045
560019628002003,045
560019628002004,045
560019628002005,045
560019628002006,045
560019628002007,045
560019628002008,045
560019628002009,045
560019628002010,045
560019628002011,045
560019628002012,045
560019628002013,045
560019628002014,045
560019628002015,045
560019628002016,045
560019628002017,045
560019628002018,045
560019628002019,045
560019628002020,045
560019628002021,045
560019628002022,045
560019628002023,045
560019628002024,045
560019628002025,045
560019628002026,045
560019628002027,045
560019628002028,045
560019628002029,045
560019628002030,045
560019628002031,045
560019628002032,045
560019628002033,045
560019628002034,045
560019628002035,045
560019628002036,045
560019628002037,045
560019628002038,045
560019628002039,045
560019628002040,045
560019628002041,045
560019628002042,045
560019628002043,045
560019628002044,045
560019628002045,045
560019628002046,045
560019628002047,045
560019628002048,045
560019629001000,046
560019629001001,046
560019629001002,046
560019629001003,046
560019629001004,046
560019629001005,046
560019629001006,046
560019629001007,046
560019629001008,045
560019629001009,046
560019629001010,046
560019629001011,046
560019629001012,045
560019629001013,045
560019629001014,045
560019629001015,014
560019629001016,014
560019629001017,014
560019629001018,014
560019629001019,014
560019629001020,014
560019629001021,046
560019629001022,046
560019629001023,046
560019629001024,014
560019629001025,014
560019629001026,045
560019629001027,045
560019629001028,045
560019629001029,045
560019629001030,045
560019629001031,045
560019629001032,045
560019629001033,045
560019629001034,046
560019629001035,045
560019629001036,045
560019629001037,045
560019629001038,045
560019629001039,045
560019629001040,045
560019629001041,045
560019629001042,045
560019629001043,045
560019629001044,045
560019629001045,045
560019629001046,045
560019629001047,045
560019629001048,045
560019629001049,045
560019629001050,045
560019629001051,045
560019629001052,045
560019629001053,045
560019629001054,045
560019629001055,045
560019629001056,045
560019629001057,045
560019629001058,045
560019629001059,045
560019629001060,045
560019629001061,045
560019629001062,045
560019629001063,045
560019629001064,045
560019629001065,045
560019629001066,045
560019629001067,045
560019629001068,045
560019629001069,014
560019629001070,014
560019629001071,014
560019629001072,045
560019629001073,045
560019629001074,045
560019629001075,045
560019629002000,045
560019629002001,045
560019629002002,045
560019629002003,045
560019629002004,045
560019629002005,045
560019629002006,045
560019629002007,045
560019629002008,045
560019629002009,045
560019629002010,045
560019629002011,045
560019629002012,045
560019629002013,045
560019629002014,045
560019629002015,045
560019629002016,045
560019629002017,045
560019629002018,045
