BLOCKID,COUNTYFP,DISTRICT
560019627001000,001,0115
560019627001001,001,0115
560019627001002,001,0115
560019627001003,001,0115
560019627001004,001,0115
560019627001005,001,0115
560019627001006,001,0115
560019627001007,001,0115
560019627001008,001,0115
560019627001009,001,0115
560019627001010,001,0115
560019627001011,001,0115
560019627001012,001,0115
560019627001013,001,0115
560019627001014,001,0115
560019627001015,001,0115
560019627001016,001,0115
560019627001017,001,0115
560019627001018,001,0115
560019627001019,001,0115
560019627001020,001,0115
560019627001021,001,0121
560019627001022,001,0121
560019627001023,001,0121
560019627001024,001,0121
560019627001025,001,0121
560019627001026,001,0121
560019627001027,001,0121
560019627001028,001,0121
560019627001029,001,0121
560019627001030,001,0121
560019627001031,001,0121
560019627001032,001,0121
560019627001033,001,0121
560019627001034,001,0121
560019627001035,001,0121
560019627001036,001,0121
560019627001037,001,0121
560019627001038,001,0121
560019627001039,001,0121
560019627001040,001,0121
560019627001041,001,0121
560019627001042,001,0121
560019627001043,001,0121
560019627001044,001,0121
560019627001045,001,0121
560019627001046,001,0121
560019627001047,001,0121
560019627001048,001,0121
560019627001049,001,0121
560019627001050,001,0121
560019627001051,001,0121
560019627001052,001,0121
560019627001053,001,0121
560019627001054,001,0121
560019627001055,001,0121
560019627001056,001,0121
560019627001057,001,0121
560019627001058,001,0121
560019627001059,001,0121
560019627001060,001,0121
560019627001061,001,0121
560019627001062,001,0121
560019627001063,001,0121
560019627001064,001,0121
560019627001065,001,0121
560019627001066,001,0121
560019627001067,001,0121
560019627001068,001,0121
560019627001069,001,0121
560019627001070,001,0121
560019627001071,001,0121
560019627001072,001,0121
560019627001073,001,0121
560019627001074,001,0121
560019627001075,001,0121
560019627001076,001,0121
560019627001077,001,0121
560019627001078,001,0121
560019627001079,001,0121
560019627001080,001,0121
560019627001081,001,0121
560019627001082,001,0121
560019627001083,001,0121
560019627001084,001,0121
560019627001085,001,0121
560019627001086,001,0121
560019627001087,001,0121
560019627001088,001,0121
560019627001089,001,0121
560019627001090,001,0121
560019627001091,001,0121
560019627001092,001,0121
560019627001093,001,0121
560019627001094,001,0121
560019627001095,001,0121
560019627001096,001,0121
560019627001097,001,0121
560019627001098,001,0121
560019627001099,001,0121
560019627001100,001,0121
560019627001101,001,0121
560019627001102,001,0121
560019627001103,001,0121
560019627001104,001,0121
560019627001105,001,0121
560019627001106,001,0121
560019627001107,001,0121
560019627001108,001,0121
560019627001109,001,0121
560019627001110,001,0121
560019627001111,001,0121
560019627001112,001,0121
560019627001113,001,0121
560019627001114,001,0121
560019627001115,001,0121
560019627001116,001,0121
560019627001117,001,0121
560019627001118,001,0121
560019627001119,001,0121
560019627001120,001,0121
560019627001121,001,0121
560019627001122,001,0121
560019627001123,001,0121
560019627001124,001,0121
560019627001125,001,0121
560019627001126,001,0121
560019627001127,001,0121
560019627001128,001,0121
560019627001129,001,0121
560019627001130,001,0121
560019627001131,001,0121
560019627001132,001,0121
560019627001133,001,0121
560019627001134,001,0121
560019627001135,001,0121
560019627001136,001,0121
560019627001137,001,0121
560019627001138,001,0121
560019627001139,001,0121
560019627001140,001,0121
560019627001141,001,0115
560019627001142,001,0115
560019627001143,001,0115
560019627001144,001,0115
560019627001145,001,0121
560019627001146,001,0121
560019627001147,001,0121
560019627001148,001,0121
560019627001149,001,0121
560019627001150,001,0121
560019627001151,001,0115
560019627001152,001,0115
560019627001153,001,0115
560019627001154,001,0115
560019627001155,001,0115
560019627001156,001,0115
560019627001157,001,0121
560019627001158,001,0121
560019627001159,001,0115
560019627001160,001,0115
560019627001161,001,0115
560019627001162,001,0115
560019627001163,001,0115
560019627001164,001,0115
560019627001165,001,0115
560019627001166,001,0115
560019627001167,001,0115
560019627001168,001,0115
560019627001169,001,0115
560019627001170,001,0115
560019627001171,001,0115
560019627001172,001,0115
560019627001173,001,0115
560019627001174,001,0115
560019627001175,001,0115
560019627001176,001,0115
